,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,78.969,914.234,622.192,32.96,40.36,210.295,41.005,23.822,123.768,37.4,17.584,75.188,93.376,259.944,31.703,47.109,29.824,28.067,21.473,30.154,16.12,79.552,25.66,122.97,29.593,12.836,24.595,155.278,26.03,159.08,23.892,22.458,22.186,17.798,16.77,8.87,222.054,21.875,78.66,9.847,50.928,77.553,9.948,23.6,12.759,23.924,147.747,235.998,7.737,17.345,6.619,11.829,175.074,16.242,12.563,283.04,18.542,63.218,9.362,11.245,6.354,208.159,6.886,5.523,7.029,657.369,11.246,8.621,99.104,667.624,71.473,5.173,2.97,7.646,36.622,12.922,19.425,380.376,696.159,47.26,2.82,6.255,16.294,737.748,0.295,1.091,0.162,784.989,0.061,84.078,0.075,174.627,0.032,0.135,0.039,0.029,1035.51,0.0,0.757,0.844,2.355,8.989,0.19943637,0.47507372,0.09474698
Pareto solution 1,78.9690032183911,914.2340203676322,622.1920134680495,32.959999590577354,40.360002919033604,210.29499930056159,41.004994464130505,23.82200021617973,123.76799689309092,37.4000046821227,17.58399882171102,75.18800453379424,93.37599883129496,259.9439904104993,31.702992736930582,47.109000596849,29.823997092784793,28.067004085724648,21.4729992066641,30.153999279803656,16.120001215870843,79.55200166679913,25.660000300641286,122.97000074723866,29.59300716614007,12.835999425127056,24.594999220491445,155.2780004653614,26.03000008025515,159.08000442314187,23.892000258119424,22.45799891268075,22.18599795399382,17.797997004830222,16.769996521536086,8.870000850723272,222.05399909592597,21.875000464272716,78.66000398370215,9.84700289490388,50.92799939262659,77.55300009336406,9.947998711570108,23.599998182281297,12.759001235676351,23.924003283349975,147.74699345556894,235.99800992589007,7.736995662812205,17.344998855343874,6.619006398313559,11.829007309488134,175.0740036613861,16.241997664013297,12.562992763171906,283.0400030988262,18.541999263065463,63.217998909342555,9.36199707847959,11.24500315781188,6.353997398194451,208.15899695984012,6.885998954724755,5.523003354493994,7.029003770522422,657.3690382131026,11.246001124901113,8.621005741105819,99.10399668758541,667.6240675658046,71.47300087127587,5.172990766909152,2.970005494052657,7.646001178339475,36.622005011714236,12.921993243503039,19.42499590191187,380.3760036825697,696.1590194572836,47.25999843277532,2.819994794564991,6.254997515706691,16.294000259159247,737.7479997702558,0.2949957131108931,1.0910021137278818,0.16200770186469526,784.9890695842823,0.0610041490194817,84.07800289757415,0.07500044404150685,174.62700105061413,0.03199966676402255,0.13499296484451406,0.03900555045402143,0.029004218260524794,1035.5099764997904,5.924948254687479e-06,0.7570065111162876,0.8439982965815034,2.355007114885666,8.988994114183242,0.19943628,0.4750737,0.09474693
Pareto solution 2,92.84700045944714,510.479521798763,364.4585121600285,69.84249903234922,73.54249992295945,158.50999966095924,73.8649964691258,65.27349934515041,115.24649787701048,72.062500804504,62.15449787429816,90.95650111714872,100.05049865270803,183.33449753678178,69.21399637914374,76.91699953548505,68.27449933068874,67.39600050630497,64.0989988403926,68.43949965058027,61.42250061861387,93.13849968365116,66.19249861376329,114.84749980408435,68.15900127289478,59.780499723241974,65.65999884730627,131.00149946974125,66.37749850357022,132.90250144863148,65.30849781888446,64.59149946701882,64.45549744043956,62.26149851309356,61.74749749782859,57.79750043604008,164.38949878502353,64.3000002428148,92.69250122891162,58.28599991089459,78.82649893337384,92.13899928374258,58.3364985928456,65.1624975545833,59.74200140213452,65.32450242597133,127.23599635165397,171.36150420000558,57.23099861570245,62.034998664732484,56.67200088898153,59.277001344568816,140.8995010677536,61.483498842685094,59.6439963922644,194.88250233370945,62.633500415829076,84.97149907854077,58.04349854991824,58.98500081596649,56.53949870977567,157.4419984905985,56.80549948804082,56.124000914307544,56.87700034870386,382.04701834361185,58.985499025893205,57.67300056037766,102.91449748415101,387.17453301996284,89.09899967269848,55.94899616775092,54.84750043685108,57.18550059984818,71.67350096929977,59.82349740604786,63.07499796163438,243.5505010783454,401.4420027767592,76.9924984534482,54.77249663434304,56.489996447678095,61.50949859302227,422.2365053111316,53.509995546380196,53.90800029392449,53.4435015407571,445.8570278402585,53.39299976433449,95.40150068584762,53.3999994590813,140.6759997623676,53.37849907044256,53.4299972667186,53.38200201228756,53.37700134619081,571.1174998648421,53.36250065229888,53.74100403985449,53.784499932587096,54.54000279450338,57.856997841387965,0.19943626,0.47507393,0.09474697
