,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,42.874,7.011,6398.54,6300.637,11.424,6094.254,6079.063,25.588,13207.368,11.034,10.443,11.386,5566.341,9.495,5210.339,133.905,77.001,891.643,14.241,115.016,8.044,13179.077,10.992,13.337,159.407,67.157,8.734,12.126,13.199,883.062,9.929,139.105,13.373,4907.161,43.955,13159.925,17.009,17.455,280.08,40.557,20.16,12.815,17.592,6.457,56.925,3693.508,182.153,269.168,7.424,15.189,16.591,154.983,64.116,15.793,14.811,12.961,12.657,15.306,15.12,9.45,0.15025468,0.36851335,0.055370856
Pareto solution 1,-312.3009786855255,-357.12985120490066,7632.281857872662,7509.902455209951,-351.61363539653394,7251.924122194399,7232.935262145544,-333.90847537560876,16143.317324285468,-352.10099378948235,-352.83985613639834,-351.6610359571496,6592.032428661114,-354.0248701517894,6147.030101614582,-198.51226793587557,-269.64226997742935,748.6602293284618,-348.0923112749224,-222.1236111093458,-355.83863794377976,16107.953574072759,-352.1536108550936,-349.22226489683544,-166.63481673980732,-281.9473455634961,-354.97598439049307,-350.73615084309586,-349.39492266054185,737.9339405851169,-353.482451365363,-192.0123561117016,-349.1773076640866,5768.057879436459,-310.949818375193,16084.012870302846,-344.6323879826032,-344.074832780042,-15.793686372237062,-315.19729953881324,-340.6935846450333,-349.8748044702179,-343.903469980105,-357.8222903223477,-294.73720183161186,4250.991697624635,-138.2024578359069,-29.433649705043536,-356.6136615431242,-346.90729725953133,-345.1547836971613,-172.16472740086738,-285.7485284589693,-346.15230894869455,-347.37967805265635,-349.69220236209367,-350.0723841781655,-346.7610274367862,-346.9936200330649,-354.0812255090368,0.15025471,0.36851326,0.055370852
Pareto solution 2,42.87406080157962,7.010967672735205,6398.540310501507,6300.636847011207,11.42393543277285,6094.254121958897,6079.063073013058,25.588053676201525,13207.368624991883,11.034053605069857,10.442963727537062,11.386014984280337,5566.340786678891,9.494952515224213,5210.338925041666,133.90502940129954,77.00102288140079,891.6430247694416,14.240994730062084,115.01595486252336,8.043933394976193,13179.077624821715,10.99195506592514,13.337036719187381,159.40699524480988,67.15697707251456,8.734051350949812,12.125927962179048,13.198915394877986,883.0619962180936,9.928887544365352,139.1049686339502,13.373002505386467,4907.161127752544,43.95498904984561,13159.925061805785,17.008943137228925,17.454972639310654,280.0799044255218,40.55700411894941,20.159980920629096,12.81499528716995,17.592067765916,6.457016378777553,56.92507739805478,3693.508182303085,182.15288725458595,269.1679288726209,7.423914515500655,15.189005942374934,16.591011905615233,154.98305694265036,64.11601120951309,15.792996591044357,14.81109642121919,12.961081860325066,12.656936407467583,15.3060169139153,15.11995749685957,9.449873116082017,0.1502547,0.3685134,0.05537087
