,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,39374.441,41.834,33.13,1575.011,530.538,69.523,416.995,121.478,18.779,40390.832,40486.492,5143.986,43.173,739.86,19.577,160.841,1583.249,137.456,33.678,41.29,6323.741,71.359,34.864,15.339,25.059,21.805,28.009,46484.172,170.927,35.925,106.22,650.501,13.906,36.893,28.939,34.734,925.236,11.477,356.069,136.572,32.632,31.734,760.617,42.69,47575.332,120.915,248.185,25.776,0.16118243,0.2695823,0.04345193
Pareto solution 1,47992.47175414814,-1173.2896705443272,-1184.1700007760664,743.1813270630519,-562.4097104891698,-1138.678539309738,-704.3385941296874,-1073.73469751417,-1202.1088432061078,49262.95808064041,49382.534037181176,5204.400027566553,-1171.6162221110426,-300.7573502892046,-1201.1111394697364,-1024.5309404525178,753.4792058903258,-1053.7621584892768,-1183.4845380278566,-1173.9699341350934,6679.094341239113,-1136.383718676545,-1182.0022436635772,-1206.4087893633405,-1194.258018285589,-1198.325945968114,-1190.5715727067145,56879.6347183293,-1011.9240040469012,-1180.6760697933787,-1092.8073449889926,-412.45629176120565,-1208.20016634911,-1179.4658322751493,-1189.4086620982998,-1182.1648266617703,-69.03721975628287,-1211.2360369839298,-780.4963868580089,-1054.8674410535023,-1184.792587732387,-1185.914731115612,-274.810493458921,-1172.220004638104,58243.58770730463,-1074.4383330183045,-915.3505777448154,-1193.362597039115,0.16118243,0.2695823,0.04345193
Pareto solution 2,56610.500284665264,-2388.4134249656927,-2401.4698212437797,-88.64824727294035,-1655.3574923356064,-2346.8800286119804,-1825.67217214033,-2268.9474767656066,-2422.9964710320346,58135.08372096717,58278.57502430491,5264.814212767364,-2386.405286845751,-1341.3746406595455,-2421.7992071122862,-2209.902929419419,-76.290773244109,-2244.9804299357347,-2400.6472853820305,-2389.229741274612,7034.447398892487,-2344.126321596559,-2398.86849327269,-2428.1563675485086,-2413.5754033830017,-2418.4569749103393,-2409.1517464327626,67275.09599717148,-2194.774644604884,-2397.2770651923493,-2291.8346537353937,-1475.4133898620494,-2430.3060004953295,-2395.8247996065766,-2407.7562342665624,-2399.063631742727,-1063.3104840200394,-2433.949103565421,-1917.0615039782133,-2246.3067495767027,-2402.216945027467,-2403.563478215132,-1310.2383930271026,-2387.12986475043,68911.8397394307,-2269.7917810622603,-2078.886494170176,-2412.500975631643,0.16118245,0.26958227,0.04345193
