,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,22.103,6160.415,427.592,17.506,40.659,39.167,45961.469,24.698,39.546,20.012,36.085,15.348,271.367,14536.585,3627.814,131.783,29.804,3543.626,11.981,32.518,572.404,6742.68,12.961,32.716,24.794,735.794,31.801,41.862,31.674,27.074,44.428,92.724,45.337,33.415,54.283,127.46,11.912,422.773,32.831,14023.89,0.16493794,0.3127203,0.051579442
Pareto solution 1,22.10302070021862,6160.415002834401,427.5918770155331,17.506106176646426,40.65885297523346,39.16694065416232,45961.46483939118,24.697971346380655,39.54596609366854,20.011959063362156,36.08497601066483,15.347947649192065,271.3668173934493,14536.584869298153,3627.813983877244,131.78299611149123,29.80401592393173,3543.625989005781,11.981065994717937,32.518013156244706,572.4041011103,6742.680091626011,12.960968566934753,32.715963381982874,24.79398037352803,735.7938703794425,31.800911538361106,41.86204708809237,31.67391699435393,27.07406518200878,44.42808559770492,92.72402429278736,45.33685970649822,33.41521089163871,54.28297740045673,127.46005575836898,11.912126099399757,422.7729956109615,32.83115117700072,14023.889292312291,0.16493796,0.3127204,0.05157946
Pareto solution 2,629.9078929665702,5233.641879567207,934.0245496015305,626.4602070738911,643.8247671728313,642.705832932028,35084.42971773597,631.8541059511917,642.9900876131833,628.3395823404535,640.3943594494049,624.8415881783003,816.8557548849676,11515.76927941502,3334.1911225485765,712.1678745250247,635.683639384355,3271.050126394979,622.3164125389703,637.7191517070642,1042.633696074894,5670.340696160914,623.0513682650817,637.8675999778934,631.9261271200266,1165.1760446244625,637.1813110951771,644.7271771559499,637.0860795856461,633.6361763279128,646.6516772412106,682.8736312625224,647.3332722212799,638.3920212116609,654.0428748902232,708.9256548617086,622.2647220159561,930.410359751153,637.9539908241568,11131.247654269522,0.16493796,0.3127204,0.05157946
