,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,51.252,1.95,67.485,2.489,45.551,2.952,2.782,8.022,26.753,3.036,2.516,412.485,3.054,2.28,36.448,18.858,2.69,2.604,13.963,23.54,1.574,2.461,2.844,1.784,1.712,1022.007,2.194,2.398,2.826,1.919,3.077,1035.263,2.556,2.451,11.588,1.693,2.818,2.147,2.926,10.156,2.944,2.665,18.669,3.038,14.551,1.978,2.525,2.012,2.322,36.122,18.78,2.078,6.344,21.599,33.099,3.141,2.302,2.581,10.581,27.751,28.584,2.246,42.759,11.462,56.345,2.271,34.133,2.228,15.997,1106.0,2.174,3.335,2.012,1152.014,2.509,2.45,2.177,82.958,85.522,2.946,2.247,47.664,2.494,2.552,1.986,1156.074,1167.427,2.352,2.428,2.1,4.673,68.626,2.614,2.6,64.909,2.042,24.87,239.531,2.712,7.809,12.251,2.234,68.262,2.23,2.542,95.65,86.853,21.688,2.419,2.67,2.5,1189.142,2.138,73.096,2.375,30.848,7.986,5.537,29.237,1.897,1.794,1207.963,2.115,97.679,2.488,51.365,0.19168022,0.28898656,0.05539301
Pareto solution 1,31.183643430861594,-42.769361473028766,55.53314635758443,-41.96085424678222,22.6321382306578,-41.26634995313907,-41.52135435861055,-33.661340879940326,-5.564857249045417,-41.140345850120866,-41.92035643638519,573.0331067020452,-41.11336368253069,-42.27436640461019,8.977646957636352,-17.407351888850826,-41.65935963204356,-41.78835993449684,-24.74985787165315,-10.384358649083879,-43.333359178163846,-42.00285834323404,-41.42835756740169,-43.018365293292845,-43.12636764068884,1487.3161275928142,-42.403358520726215,-42.09735323416044,-41.455356107666375,-42.81585168229594,-41.078850084666556,1507.2000203858333,-41.86035877064842,-42.01785571308392,-28.31235537263092,-43.15485609433381,-41.46735727808118,-42.473851070823,-41.30534966381856,-30.46036021844975,-41.27835930989113,-41.69685305666826,-17.69085293430453,-41.13734965068579,-23.86784552320023,-42.7273655629142,-41.906848979915594,-42.67635649548265,-42.211356166763835,8.48865247442518,-17.5243510208893,-42.57734274639188,-36.178344877496784,-13.29586223892511,3.9541420332207053,-40.98285709402262,-42.24135909280085,-41.822857159686464,-29.8228573911083,-4.067862687037632,-2.81835747290188,-42.32535091302998,18.444139072753387,-28.501361527158224,38.82314972924996,-42.28784111573077,5.505141862095115,-42.35236582596917,-21.698842722324116,1613.3056916760543,-42.43334507408872,-40.69184917730672,-42.67635649548265,1682.3267312787066,-41.930851320745205,-42.019353812801455,-42.42885077493611,78.7426455405772,82.58864920346946,-41.2753549241188,-42.32384462697519,25.801646518574216,-41.953347375520025,-41.866351169518566,-42.71535620616214,1688.4165803075302,1705.4461265174177,-42.166364057214196,-42.05235293827354,-42.544351807257044,-38.684870363367736,57.24464342149804,-41.77336256464696,-41.79435233336699,51.66914196236212,-42.63135619959576,-8.389348260210681,313.6021522050687,-41.62636050657147,-33.9808536229757,-27.317846377629394,-42.34334448231493,56.69864747198517,-42.34935325385959,-41.8813567257057,97.78064717498592,84.58514029609353,-13.162359450981967,-42.06586039474314,-41.68935437174332,-41.94435059087755,1738.0187110732077,-42.487350340955345,63.9496445303746,-42.131858645687316,0.5776463009979125,-33.715354333144205,-37.388850380953045,-1.8388540340874897,-42.84885080776803,-43.00335973710571,1766.2501792190887,-42.521855752482224,100.82414624342334,-41.962352346499756,31.353149730049154,0.19168027,0.2889866,0.05539303
Pareto solution 2,41.21782119604677,-20.40968289052853,61.50907354970812,-19.735926868656406,34.0915670330923,-19.15717329062045,-19.36967730294407,-12.819666070718881,10.594070458908902,-19.052170212535998,-19.70217869332555,492.7590419530893,-19.029684390682746,-19.99718665908233,22.71282430557443,0.7253247551890354,-19.484681015276806,-19.592181949515975,-5.3934302304795665,6.57781963330757,-20.879680978141096,-19.77093062346364,-19.292179294741914,-20.61718607408193,-20.707187689147872,1254.661560726453,-20.104680430276403,-19.84967602480492,-19.314678419393204,-20.44842473158451,-19.000923741324073,1271.2314686585232,-19.652180638544905,-19.78342809057449,-8.362177806863656,-20.730928067185346,-19.32467905364149,-20.16342456312111,-19.189673049520025,-10.152181845046016,-19.167181087913832,-19.51592621799216,0.48907422507500087,-19.049673379673436,-4.658419940102135,-20.37468629876639,-19.690922479600886,-20.332178742573433,-19.944678468641087,22.305328391252374,0.6278254784903083,-20.249667626095174,-14.91716940201593,4.151566812321903,18.526570372443416,-18.920928900259355,-19.96968056590788,-19.62092929607661,-9.620929488928141,11.841566438894802,12.882820442910543,-20.039673749432154,30.601567734838625,-8.51968293563641,47.58407627415505,-20.00841626721092,19.819070229838758,-20.062186176881482,-2.8509176060387063,1359.652858671595,-20.129669224745157,-18.678422985190878,-20.332178742573433,1417.1703998601424,-19.710924771389614,-19.78467650700577,-20.125923975451315,80.85032295414311,84.0553260491905,-19.164677092006173,-20.038419193247933,36.73282376914062,-19.729671483701964,-19.65717430427003,-20.36467850147301,1422.2452740508288,1436.4365598302893,-19.907185044016387,-19.812175437135124,-20.22217483571876,-17.00593995804695,62.935321273518156,-19.57968345911297,-19.5971756152411,58.28906988702286,-20.294678154903636,8.240328120153208,276.5665791900808,-19.45718208514745,-13.085926689915027,-7.533420652126438,-20.05466907269772,62.48032439310106,-20.059676041220882,-19.669678934425974,96.71532431615037,85.71906856242146,4.262819135607856,-19.82343165085979,-19.509676972790658,-19.72217382206918,1463.5803748358894,-20.174673613800678,68.52282211230761,-19.878430534410654,15.712823417278344,-12.864676599527343,-15.925923647132095,13.699072967491816,-20.475923661713864,-20.604681443925983,1487.1066064771276,-20.20342812340641,99.25157356116682,-19.737175285087687,41.35907644536974,0.19168027,0.2889866,0.05539303
