,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,25.992,267.321,19.698,26.207,24.266,2574.426,3749.331,19.926,47.873,2870.168,26.25,314.848,3761.307,2988.595,17.081,4118.826,3850.979,8.808,594.989,6.444,21.326,11.406,18.689,158.078,693.003,28.867,27.134,31.211,76.211,17.003,37.491,812.378,42.241,42.85,39.465,40.574,122.98,493.074,16.463,477.964,17.688,1126.198,256.935,18.207,481.092,44.075,856.068,32.716,392.33,387.124,21.293,32.644,20.32,1586.641,42.482,17.078,1258.331,866.919,31.376,1370.346,19.238,39.079,102.227,123.412,25.962,54.856,35.991,35.596,36.867,342.309,30.738,593.396,110.713,44.796,44.171,120.889,137.356,2243.936,30.253,397.701,40.168,35.842,30.868,51.471,30.038,29.508,1923.288,404.443,32.344,34.467,50.385,47.443,35.171,136.832,34.593,28.599,241.954,31.666,28.613,22.398,26.609,32.02,3033.183,31.119,31.839,45.698,788.571,128.056,222.33,3287.413,76.522,999.938,16.411,51.278,3574.034,122.147,171.174,18.831,38.281,17.696,861.581,39.99,21.737,11.933,1465.634,974.657,34.348,42.265,1672.059,32.733,0.18872112,0.31961128,0.0603174
Pareto solution 1,140.8233775155834,321.82013297827416,136.10286637982495,140.98461436775756,139.52887372285227,2052.1488163207887,2933.32773836492,136.27387271402222,157.23411899119378,2273.955501518918,141.01687016924484,357.46537036212396,2942.309450950872,2362.7754868055144,134.14011737013493,3210.449097286193,3009.5636190794667,127.93539322276956,567.5711353484861,126.16237802252499,137.3238759857868,129.88389375382394,135.3461197027409,239.88788193660002,641.0816203960148,142.9796297177504,141.67988813368652,144.73761305406947,178.4876218630459,134.0816058661519,149.4476205036542,730.6128562929275,153.01012658580044,153.46687182624623,150.92811331336884,151.7598858184167,213.5643902662407,491.1348802434975,133.676637826547,479.80236804192674,134.59538366346396,965.9778752510028,314.0306168765462,134.98462076437795,482.1483842428546,154.38562820197876,763.3803840214252,145.8663869462598,415.5768656965012,411.67237329299934,137.29912382097746,145.81239308121303,136.56938110229385,1311.310172184324,153.1908637596971,134.13789016711348,1065.0776952429574,771.5186260170588,144.86138090399322,1149.0888189900265,135.7578677136887,150.63864015347394,197.99960654142046,213.88837102121397,140.80087714436513,162.47136933143634,148.32263004624951,148.02638745382728,148.9796373728841,378.06112467731384,144.38288354823385,566.3763709062044,204.36412372322843,154.92637131536753,154.45760479930755,211.99613020055153,224.34639250710347,1804.281368611245,144.01911876452573,419.60511716758054,151.45536674284222,148.2108940107555,144.48038164390778,159.9326213573745,143.85788191235156,143.4603683282853,1563.7952792156484,424.6616197951109,145.5873788302149,147.17963226599318,159.11812197102768,156.91160664452173,147.70761989961716,223.95338602315792,147.27411977335578,142.77862288859546,302.79487295767194,145.0788915183134,142.78913711358473,138.127885737714,141.28613339383628,145.3443713081192,2396.216694266861,144.66861191566682,145.20862082490498,155.6028789637246,712.7576226015517,217.3713828175994,288.07688657594804,2586.8893295057987,178.72087395487256,871.2828726618013,133.63762664428646,159.78788477742705,2801.854665299219,212.93962468933933,249.70988941644828,135.4526284857177,150.0401302790683,134.60135565894734,767.5151161719732,151.32186805321908,137.63213985382322,130.27914149254502,1220.5549512225234,852.3221101924196,147.0903720111478,153.02814444746764,1375.3735944625514,145.87911783545496,0.18872106,0.31961122,0.060317367
Pareto solution 2,255.65475096270075,376.3192569464536,252.5077482227798,255.76224688140155,254.79174843421333,1529.871731243802,2117.3243084685455,252.62175010361898,266.59524996369237,1677.7428359735495,255.7837460651417,400.0827473647073,2123.312154330524,1736.956140762275,251.19924888298647,2302.071937289744,2168.148266416254,247.0627637761172,540.1532596975744,245.88075832653885,253.32175228479537,248.36176413015346,252.0032480960981,321.6977562520042,589.1602485582807,257.09225945668913,256.22575804143617,258.2642460056095,280.76425187826044,251.16024121366445,261.4042509719993,648.8477438401405,263.77925034284544,264.08375185372734,262.39124617847574,262.94575649792296,304.14875946313896,489.19575519645537,250.89026486255352,481.64074706207487,251.50275271932878,805.7577517949394,371.1262485539273,251.76224646189712,483.20475778950725,264.6962537622567,670.6927552999286,259.0167595917774,438.8237460107614,436.220749904114,253.30525552550716,258.98075899782816,252.81875569580006,1035.9792737159842,263.8997441340689,251.19775939705414,871.8242937723244,676.1182499636843,258.34675790555866,927.8317189715399,252.27774911202232,262.1982593879611,293.7722416638435,304.36474897508015,255.63975774109895,270.0867455066027,260.6542526498115,260.45675524623766,261.09225987619357,413.81325024150055,258.0277549844677,539.3567500693866,298.01525311838213,265.05675151314153,264.7442405024349,303.1032527526795,311.3367656409655,1364.6267567362702,257.78524981258033,441.50924699148095,262.74275080675034,260.5797643014412,258.09275839883503,268.3942538831052,257.6777538938795,257.4127518637124,1204.3027065070419,444.88024874316784,258.8307565230398,259.8922541296406,267.8512519502483,266.3802440745367,260.24425056930795,311.0747566344171,259.9552481431747,256.95824787804213,363.6357502660521,258.4917579558951,256.9652597033273,253.85775644412115,255.96325722349502,258.66875385026833,1759.2503165411836,258.21824056275636,258.5782465022485,265.50775661204625,636.9442500286386,306.6867591812961,353.82376168686187,1886.3654067004754,280.9197485888935,742.627745384887,250.86425506575415,268.2977604878479,2029.6756492984277,303.73225142049705,328.2457612385697,252.07425160945695,261.79925983090106,251.5067434174871,673.449245742253,262.6537469964169,253.52725918819397,248.62526262263418,975.4757930747837,729.9872370719659,259.832744951118,263.7912645925826,1078.688231269305,259.0252468512408,0.18872103,0.31961125,0.060317364
