,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,408.933,183.04,142.099,75.383,10.905,8.894,8.163,12.052,239.564,33.754,44.495,8.946,9.448,8.066,9.537,9.471,343.722,304.163,54.089,8.373,27.473,108.507,9.201,151.738,134.175,38.941,9.251,7.681,8.525,9.213,10.13,52.771,218.725,299.993,6.224,2362.522,76.484,311.316,61.862,2236.472,5.166,2216.327,8.132,5.779,6.207,9.494,43.709,2205.339,30.066,53.982,8.217,2173.221,12.727,5.907,6.215,6.159,2163.832,5.797,44.449,9.538,1812.381,2149.619,23.438,7.578,1186.085,1212.855,8.668,1751.932,21.196,10.092,1255.792,8.006,1264.951,1276.655,9.427,10.391,1714.77,6.208,9.265,1309.864,1487.889,1316.319,447.536,30.682,448.311,7.753,203.331,406.802,11.6,13.307,7.748,6.318,15.818,8.607,189.772,7.668,184.627,12.358,216.809,128.039,30.553,9.678,36.22,32.026,0.17091407,0.30375665,0.051916286
Pareto solution 1,384.24302745750174,271.2965203215135,250.82602047815453,217.4680160243297,185.22901097708382,184.22353040380403,183.85800820356235,185.80252504814416,299.5585177744506,196.65352358389646,202.02401584468316,184.24952693330124,184.50051910593174,183.80952978110872,184.54501165566035,184.5120251227636,351.63751233207586,331.8580177668482,206.82101366925053,183.9630153332837,193.51300930371508,234.03002405108418,184.377015955979,255.64551983051933,246.86402371979784,199.24702101096045,184.4020307434257,183.61701016500592,184.0390218028333,184.38302421732806,184.84151738975197,206.16201931785326,289.139024322154,329.77302590661566,182.88851829385385,1361.0375299882144,218.01852787914686,335.43452369165607,210.70752428134438,1298.0125177633017,182.35951640736312,1287.940001403913,183.84251631400548,182.66601627552882,182.88001640769653,184.52351150475442,201.63101468444802,1282.446094349958,194.8095174904447,206.76751854491886,183.88502574479207,1266.386993505992,186.1400086954236,182.73002585722134,182.88402191526257,182.85602263198234,1261.6925386385992,182.6750090327114,202.00102344586048,184.5455221615266,1085.9669947484508,1254.585982822813,191.4955097550992,183.56552761187777,772.819005034864,786.2039976119995,184.11051225895062,1055.7424556668848,190.37451741215773,184.82253049849533,807.6724971542135,183.77952774404548,812.2520489320159,818.1040169466287,184.4900144659914,184.97201054310426,1037.1615343829617,182.8805269135628,184.40902074682526,834.7085344041698,923.721004829742,837.9359917603433,403.54452286293963,195.11751942394767,403.93202135898173,183.65302046341822,281.4420144762262,383.17752072089934,185.57652802811936,186.43001529714093,183.65050720376894,182.93552410323173,187.68552593584172,184.08001935086213,274.66252111585345,183.61051103263162,272.0900231512496,185.95551972929388,288.18102079443634,243.7960209074663,195.0530287886504,184.61552036972716,197.88652287737932,195.78952185751405,0.17091393,0.30375665,0.051916245
Pareto solution 2,421.2780093175825,138.91174884067732,87.73549923227984,4.340473371586995,-76.25704660959309,-78.77073331666179,-79.684538817266,-74.82324670581147,209.56674247301999,-47.69575036643073,-34.26951235139859,-78.70574199291877,-78.07824683521176,-79.80572014726931,-77.96704491315177,-78.04951124539366,339.7642205836346,290.31548509094864,-22.277010426914785,-79.42202099296264,-55.547036066884175,45.74550816460396,-78.38703416235512,99.78424025012646,77.83050733638811,-41.211999435705366,-78.32446774147684,-80.28703391365707,-79.23199009295786,-78.37198405672098,-77.22576585179195,-23.924503668473335,183.51800147921313,285.1030072811336,-82.10826359153725,2863.26438345341,5.71677509782603,299.2567499029683,-12.560741259745555,2705.7018528911285,-83.43076830776408,2680.5205619926564,-79.72325381502742,-82.66451863734983,-82.12950358079979,-78.02078056428581,-35.252037341182586,2666.7856176442,-52.305750873929355,-22.410755600809352,-79.61699496419169,2626.637865534285,-73.97953758761287,-82.50449468311854,-82.1194898118847,-82.18951747234678,2614.901728365803,-82.64203674439341,-34.32700807458605,-77.9657391962246,2175.587868640432,2597.135338826338,-60.59079966455465,-80.41574029647745,1392.717953260988,1426.180434703827,-79.05327867879532,2100.02657984104,-63.39328052190831,-77.2732183538028,1479.8516246548388,-79.88072523992741,1491.3005630038679,1505.9304830403998,-78.10452316119336,-76.89953296841122,2053.5743355357554,-82.12825676839566,-78.30699273297796,1547.441806136514,1769.9728938436601,1555.5104200746864,469.5317441496445,-51.53576812936808,470.50049407128245,-80.19700816762634,164.27548054592626,418.6142406353101,-75.38823925587349,-73.25452108331956,-80.20329131674953,-81.99074906809255,-70.1157297604368,-79.12949622288579,147.32675082652713,-80.30326701846207,140.8954911888868,-74.44076000293717,181.12299265991896,70.1604855794285,-51.69700208067661,-77.79075840185396,-44.613244769658195,-49.85574731932138,0.17091402,0.3037566,0.05191626
