,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,160.306,26.721,7.272,6.214,86.008,36.095,7.792,6.079,48.326,25.869,6.053,433.587,6.676,632.582,243.141,209.08,4.64,22.506,11.005,4.663,2.603,28.113,534.26,3093.389,12.571,6.62,104.105,16.77,0.16772673,0.26548058,0.044528186
Pareto solution 1,148.74816374630382,-18.233084737569698,-42.5443409176944,-43.86683247303881,55.87566446782637,-6.515583366297506,-41.89433668630477,-44.035614333365174,8.773150561290777,-19.298096851472337,-44.068083675206026,490.34943550777393,-43.289359151596045,739.0931042538723,252.29191859462725,209.71566394217325,-45.834322182801316,-23.501835036361626,-37.87807705542468,-45.80559606539714,-48.380578288653396,-16.493083340587646,616.1906549319174,3815.10173043792,-35.92060381704982,-43.35933197563895,78.49691525901596,-30.671830334253855,0.1677268,0.26548055,0.0445282
