,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,220.073,17.083,490.668,17.502,15.439,15.602,201.533,723.091,216.574,12.997,244.099,28.108,19.047,26.561,50.346,629.544,118.388,119.742,625.716,43.115,26.004,10.674,28.295,633.737,15.666,457.88,639.029,8.524,14.041,142.64,14.888,126.533,36.712,17.813,7.213,8.491,1213.169,222.83,17.203,219.758,241.2,9.901,11.41,12.094,577.709,9.622,9.012,18.748,13.095,46.487,17.675,195.487,49.424,15.321,13.216,12.818,120.723,1226.0,14.262,17.56,161.79,14.498,16.521,15.369,21.882,726.773,17.333,21.88,1408.976,5505.254,21.395,19.471,124.355,18.172,5724.504,128.703,203.927,559.514,22.34,168.579,22.544,17.097,6038.11,16.655,15.171,21.964,1.06,6.071,0.051,0.01,0.16528055,0.34098312,0.05635788
Pareto solution 1,155.8425024260523,-148.6424938329801,561.7349903640425,-148.01395998614316,-151.10850525183923,-150.86399943002834,128.0325221694875,910.3695153097797,150.59400542863477,-154.77152266726625,191.88149476716717,-132.1049780699359,-145.6964862426321,-134.42552950910613,-98.74797988093269,770.04897649333,3.314998797755834,5.34599814228568,764.3069912040592,-109.59452549184425,-135.26101507314524,-158.25597155879223,-131.82447253526334,776.3384807315815,-150.76796910789562,512.5530095888425,784.276479593249,-161.48102355557057,-153.20547298211386,39.69298843498473,-151.9350064315804,15.532486841730133,-119.19898774552348,-147.54751811068854,-163.44748455476292,-161.53051538879663,1645.486387674493,159.97800830082997,-148.46249526867177,155.3699984227842,187.5329905912913,-159.41551671425623,-157.15201145220271,-156.1260196356452,692.2964671236514,-159.8339900603969,-160.74899830621507,-146.1450215251607,-154.62447720799537,-104.53650365911017,-147.75450091572566,118.96350124091441,-100.13098439395253,-151.28545720832335,-154.44298642760987,-155.03999720981665,6.817509721382521,1664.7329906378,-152.87401448597302,-147.92697622397827,68.41799248128518,-152.52001730949996,-149.4855337409099,-151.2135199582699,-141.44401238888895,915.8925178897262,-148.26751236792188,-141.44699682104329,1939.1967911165848,8083.613606293162,-142.1744832464974,-145.0604913154093,12.26552844345133,-147.0090146338407,8412.488578999066,18.787507511391595,131.62350907135624,665.0039905114318,-140.757002324528,78.6014967485753,-140.4509736773689,-148.62154063222988,8882.897759597516,-149.2844887123465,-151.51050204546118,-141.32099782602745,-172.67699643121887,-165.16045534784644,-174.19053876315593,-174.25196832499932,0.16528054,0.34098306,0.056357864
Pareto solution 2,187.9577514520488,-65.77974672580467,526.2014920480372,-65.25596722478076,-67.8347536508677,-67.63100009468508,164.78276725724822,816.7302595978354,183.58400395420085,-70.88726816372355,217.99024571730774,-51.99848229460804,-63.324740400514656,-53.932273865256775,-24.200983803772033,699.7964811367733,60.85149907613163,62.5439985299065,695.0114921003878,-33.239771812865,-54.62851313061583,-73.79097686865498,-51.764728977707364,705.0377346686496,-67.5509761215676,485.2165077448723,711.6527324247127,-76.4785201993036,-69.58222805475634,91.16649044048904,-68.52350463398534,71.03273781745042,-41.24349035759769,-64.86726436657545,-78.11723769863056,-76.5197620983322,1429.3276584164023,191.40400602386524,-65.62974792221439,187.56399779216042,214.3664922374112,-74.75726449820831,-72.87101011316372,-72.01601693269913,635.0027220333814,-75.10599228665887,-75.86849915817402,-63.69851721196892,-70.76473157632427,-29.024754914246387,-65.03975133276617,157.22525046443388,-25.3534875646219,-67.98221490993092,-70.61348925933635,-71.11099953983512,63.77025623616419,1445.366494219158,-69.30601264130564,-65.18348205163647,115.10399316474286,-69.01101628957122,-66.48227739175991,-67.92226590622658,-59.78101089373558,821.3327630431172,-65.46725958093657,-59.78349792053086,1674.0863253608259,6794.433671341307,-60.38973790373575,-62.79474333250255,68.31027313321465,-64.41851146920226,7068.496127871003,73.74525633749477,167.77525698980207,612.2589902278719,-59.20850121144167,123.59024736848119,-58.95347992946199,-65.76228313452657,7460.503778369712,-66.31474116328354,-68.16975227421244,-59.67849875801767,-85.80849630035073,-79.54471335953349,-87.06978028163849,-87.12097417382756,0.16528055,0.34098303,0.056357864
