Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
SEPIK,0.19477737,0.27493474,0.19477734,0.27493465,2
SERRANO,0.14308289,0.31342673,0.14308287,0.31342658,2
SEVERN,0.20887408,0.32476547,0.20887402,0.3247654,1
SEVERNAYA DVINA,0.2290163,0.42469904,0.22901632,0.4246991,2
SHANNON,0.16882159,0.24775916,0.16882159,0.2477592,5
SHATT AL ARAB,0.27384606,0.39750227,0.273846,0.39750224,1
SHINANO GAWA,0.13682315,0.24818334,0.13682315,0.24818331,2
SITTANG,0.1610204,0.37264568,0.16102038,0.3726456,1
SIXAOLA,0.14173615,0.25511116,0.14173613,0.25511116,3
SKAGIT,0.16999684,0.25053754,0.16999684,0.25053754,2
SKEENA,0.1964096,0.28169048,0.19640954,0.28169042,3
SOUTH ESK,0.14504191,0.2447655,0.14504191,0.2447655,2
STIKINE,0.17650941,0.31263855,0.17650938,0.31263846,2
STRUMA RIVER,0.14282688,0.2642363,0.14282691,0.2642362,2
SUNGAI FLY (also FLY RIVER),0.14863712,0.27773237,0.14863706,0.2777323,2
SURINAME RIVIER,0.17252086,0.24846576,0.17252085,0.24846575,2
SUSITNA,0.16274868,0.26726598,0.16274868,0.26726606,1
SUSQUEHANNA,0.18268293,0.33879352,0.18268298,0.33879346,2
SUWANNEE,0.16903184,0.25796956,0.16903175,0.25796956,2
SVARTA,0.14632416,0.23858644,0.14632414,0.23858644,1
TAFNA,0.14579588,0.26246196,0.14579585,0.26246193,3
TAGUS,0.23258963,0.30899072,0.23258966,0.30899072,2
TAKU,0.19819409,0.25773662,0.19819409,0.25773662,1
TALAS,0.19940329,0.2652942,0.19940323,0.26529416,2
TANA,0.17695017,0.30431965,0.17695019,0.30431962,2
TANO (also TANOE),0.15235867,0.29021576,0.15235868,0.29021582,1
TAPI,0.18089315,0.2917201,0.18089321,0.29172006,1
TARIM HE (also TALIMU HE),0.3005502,0.43411708,0.30055022,0.43411684,2
TAZ,0.17507927,0.4477495,0.17507929,0.44774956,1
THAMES,0.15346943,0.2495149,0.15346938,0.24951492,1
THELON,0.23065959,0.32890663,0.2306596,0.32890666,1
THJORSA,0.13002606,0.24912804,0.13002607,0.24912801,1
THLEWIAZA,0.18098325,0.2651409,0.18098316,0.2651409,1
THU BON,0.16154787,0.27031004,0.16154782,0.27031004,1
TIJUANA (also TIA JUANA),0.15438633,0.25235325,0.15438633,0.25235322,1
TITICACA,0.1652568,0.25068483,0.16525678,0.25068483,2
TOCANTINS,0.24141526,0.44650966,0.24141513,0.44650966,2
TONE,0.15134846,0.26340762,0.15134837,0.2634076,1
TORGHAY,0.18453848,0.32354906,0.18453845,0.32354903,3
"TORNEALVEN (also TORNIONJOKI, also TORNIONVAYLA)",0.13910617,0.31837848,0.13910615,0.31837833,1
TRENT,0.17186011,0.27454042,0.1718601,0.27454042,1
TRINITY,0.16562484,0.27258176,0.16562484,0.2725817,3
TSIRIBIHINA,0.16011195,0.26686186,0.16011195,0.26686186,3
TUBAN,0.13412486,0.27801082,0.13412486,0.27801085,2
TULOMA,0.16759393,0.26419014,0.16759393,0.2641901,5
TUMBES (also TUMBEZ),0.15067668,0.24282575,0.15067664,0.24282573,2
TUMEN,0.2254519,0.44771808,0.22545189,0.44771802,1
TWEED,0.16943483,0.25355995,0.16943468,0.25355992,1
ULUA,0.19473748,0.28182665,0.19473746,0.2818266,1
ULUNGUR HU,0.18428905,0.30897895,0.18428907,0.30897877,1
UMBA,0.17617397,0.2347345,0.17617397,0.2347345,1
UMBELUZI (also UMBULUZI),0.17014581,0.25274223,0.17014581,0.25274217,1
URAL (also ORAL),0.16303922,0.32234538,0.16303922,0.32234526,1
URUGUAY,0.19146906,0.3308666,0.19146894,0.33086655,1
USUMACINTA,0.19590364,0.32857582,0.19590361,0.32857585,3
UTAMBONI (also MITEMBONI),0.13757296,0.2380202,0.13757294,0.23802018,2
UTHUKELA,0.15512279,0.26224673,0.15512276,0.2622467,3
UVS NUUR (also UBSU-NUR),0.16529162,0.33605054,0.16529165,0.3360505,1
VALDIVIA,0.1767185,0.36054653,0.17671849,0.36054644,2
VAM CO,0.19207847,0.24739891,0.19207853,0.2473989,1
VARDAR,0.15735081,0.33856225,0.15735076,0.33856207,2
VARZUGA,0.17349195,0.2551236,0.17349194,0.25512362,2
VASA BARRIS,0.17366418,0.24306554,0.17366418,0.24306554,2
VERDE,0.14956638,0.26466298,0.14956634,0.26466295,2
VICTORIA,0.19967006,0.30096757,0.19967003,0.3009677,2
VISTULA,0.22227101,0.2848581,0.22227097,0.28485808,1
VOLGA,0.26693532,0.4252535,0.26693523,0.4252534,2
VOLTA,0.23946166,0.5574898,0.23946165,0.55748963,1
VYG,0.16772673,0.26548058,0.1677268,0.26548055,1
WAIAU,0.1298224,0.2566095,0.12982239,0.25660944,1
WAIKATO,0.17028421,0.24935964,0.17028421,0.24935961,3
WESER,0.1490986,0.28051344,0.14909858,0.2805134,2
WINISK,0.26603782,0.42500424,0.26603785,0.42500418,1
YALU RIVER,0.16385603,0.30203602,0.163856,0.30203602,1
YANA,0.16315565,0.38622126,0.16315565,0.38622117,2
YANGTZE,0.23202093,0.4299907,0.23202087,0.4299909,3
YAQUI,0.18277334,0.308337,0.18277329,0.308337,2
YELCHO,0.17468086,0.43507954,0.17468078,0.4350794,1
YELLOW RIVER,0.37948367,0.6686215,0.37948352,0.6686205,1
YENISEY,0.3303374,0.5361072,0.33033785,0.5361066,1
YODO,0.15485062,0.25681728,0.15485062,0.25681728,1
YSYK-KOL (also ISSYK-KUL),0.17047581,0.28338474,0.17047581,0.28338474,1
YUKON,0.22917831,0.3312743,0.22917843,0.3312744,1
ZAMBEZI,0.20650914,0.39399466,0.20650914,0.3939944,1
ZAPALERI,0.14675084,0.24380465,0.14675078,0.2438046,1
ZHEM (also EMBA),0.15944868,0.28209338,0.1594486,0.28209335,2
ZHU,0.24597166,0.3883959,0.2459717,0.38839608,1
