Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto
DALING HE,0.15548056,0.28335428,0.15548053,0.28335422,1
DALY,0.1901729,0.28220394,0.19017291,0.28220385,3
DAMODAR,0.17070177,0.26610672,0.17070171,0.26610672,1
DANUBE,0.21501401,0.40410447,0.21501403,0.4041045,2
DAOURA,0.18289737,0.2733376,0.18289736,0.27333748,1
DASHT KAUR,0.17608032,0.276878,0.1760803,0.27687797,3
"DAUGAVA (also ZAPADNAYA DVINA, also ZAKHODNAYA DZVINA)",0.16960295,0.36440212,0.16960287,0.36440206,1
DE CONTAS,0.17063445,0.2896638,0.17063445,0.2896638,2
DE GREY RIVER,0.16493794,0.3127203,0.16493796,0.3127204,2
DEAD SEA,0.22126898,0.39377138,0.22126883,0.39377132,2
DELAWARE,0.15465981,0.29523242,0.1546598,0.29523242,1
DESEADO,0.14657027,0.25013557,0.14657018,0.25013554,2
DIGUL (also UWIMBU),0.20612305,0.2821725,0.20612302,0.28217238,4
DJERID,0.18674591,0.29770145,0.18674593,0.2977014,3
DNIEPER,0.23426217,0.37369758,0.23426211,0.3736975,2
DNIESTR,0.1617045,0.31886017,0.16170448,0.31886014,2
DOCE,0.1680903,0.30743167,0.16809028,0.30743152,1
DON,0.22323653,0.36851478,0.22323649,0.36851472,1
DONG NAI,0.18302423,0.3295489,0.18302423,0.3295489,1
DONG,0.17717868,0.2568224,0.17717862,0.2568224,2
DORDOGNE,0.15451412,0.26182458,0.1545141,0.26182455,3
DOURO (also DUERO),0.15929718,0.36474735,0.15929718,0.36474738,2
DRAA,0.16830537,0.27523905,0.16830535,0.27523902,2
DRAMSELVA,0.17732395,0.28190312,0.17732377,0.28190312,2
DRYSDALE,0.14999765,0.24793789,0.14999762,0.24793789,1
DURACK,0.15419595,0.2481637,0.15419596,0.2481637,2
EASTMAIN,0.17048,0.27550563,0.17047988,0.27550563,3
EBRO,0.16537596,0.3781436,0.16537595,0.37814355,1
EEL,0.15034646,0.26058066,0.15034702,0.26058093,2
ELBE,0.19168022,0.28898656,0.19168027,0.2889866,2
ELLICE,0.14212145,0.27190357,0.14212143,0.2719035,1
ESMERALDAS,0.15354194,0.26115096,0.15354192,0.26115096,3
ESSEQUIBO,0.17866887,0.26008078,0.17866883,0.26008075,1
FERGUSON,0.18472083,0.29443815,0.18472081,0.29443812,2
FEUILLES,0.16363624,0.27104717,0.16363624,0.27104717,1
FITZROY,0.20727582,0.30170423,0.20727593,0.30170414,1
FLINDERS,0.16528055,0.34098312,0.16528054,0.34098303,2
FORTESCUE,0.16118243,0.2695823,0.16118243,0.26958227,2
FRASER,0.261245,0.33766225,0.2612447,0.33766222,2
FUERTE NUEVO,0.1590239,0.2596052,0.15902388,0.2596052,1
GALANA,0.15983438,0.2801841,0.15983436,0.28018415,2
