,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,15.569,169.149,4443.397,2301.853,267.676,26.979,55822.168,202.565,16.244,14616.7,3245.218,3292.091,104.63,5079.486,15.786,198.059,181.658,30.105,5268.927,22.914,28.963,37.872,21.115,123.161,144.289,225.659,5749.624,19.59,19.438,163.016,6092.293,17.259,31.378,27.637,201.956,13.021,36.005,3954.468,14345.922,161.515,34.897,14.851,483.207,440.528,6661.364,362.353,39.353,29.086,14670.166,128.325,15.301,32.973,14765.1,38.972,653.662,33.759,39.727,18.176,19.888,140.573,796.616,37.151,35.151,16.616,110.483,121.23,918.26,755.686,18.842,15339.19,15066.866,105.687,18.19,38.944,21.179,15.149,38.551,946.723,911.499,251.044,16072.739,1139.595,910.321,30.2,18668.635,15583.464,1841.311,30.409,204.371,22.927,35.266,46.964,25.785,5563.851,15660.051,5651.828,85.412,1833.75,17.048,16.015,335.518,32.023,95501.164,24.695,630.04,14.598,27.188,19459.299,50.892,97.71,163.727,21.333,227.239,22.201,48.117,14.414,107.917,782.661,12.927,333.146,26.107,27.769,10.501,17600.844,16.69,40.717,217.439,39459.582,10.118,8.677,21.578,20.11,11.707,13.851,11.857,129.361,102.3,353.371,10.607,17.796,10.067,6.917,5.481,18.311,158.001,86.521,11.737,6.998,0.22439429,0.49011737,0.10997954
Pareto solution 1,15.569202255515847,169.14884626719868,4443.397047640203,2301.853032700621,267.6760926805073,26.978875774133485,55822.1679986231,202.56479070075875,16.243702460626082,14616.69992441102,3245.2180165246273,3292.09106337334,104.6299909389345,5079.485923346674,15.78575596405426,198.05899706060154,181.65789898228832,30.105139237632102,5268.926738450438,22.914187273243442,28.962926086736843,37.872004100900085,21.114930483941862,123.16094395747496,144.28923415850295,225.65890563593712,5749.62410156324,19.590210889058653,19.437869661567674,163.01620827188162,6092.292891605837,17.25918247527443,31.37785368234472,27.6369191278136,201.956117901369,13.021004923793953,36.004997376505344,3954.4679905124067,14345.921659422107,161.5150973376949,34.89685144609393,14.850868380708562,483.2070924938307,440.5281708391849,6661.36396985485,362.35289726621704,39.35296692726115,29.085967966588214,14670.166542881634,128.325011654837,15.300970957439858,32.972860951093026,14765.09919767626,38.97199850677134,653.6621225800664,33.75909856334329,39.72701424200932,18.17622898604168,19.88797223829897,140.572984881117,796.6159082983722,37.15074798144633,35.15108673033683,16.616057949526294,110.48270865758968,121.2299554555575,918.2599939440443,755.6860269658137,18.842116259562317,15339.191076733783,15066.86586771044,105.68692068685777,18.18999429635005,38.94408338028006,21.178912261464575,15.149014235823415,38.55096457415493,946.7230797571247,911.4988810967989,251.044060373948,16072.73907998469,1139.5949176805443,910.3209473501593,30.199881485117658,18668.635442059167,15583.463659965113,1841.3110637998034,30.40905268086499,204.37104549697688,22.927106670627836,35.265977085648046,46.96433761486696,25.785138836050464,5563.850972644908,15660.0507704739,5651.828146872711,85.41207972494885,1833.7500249311743,17.048165651329327,16.014844564102532,335.5180784800323,32.02297763864044,95501.16620721109,24.695218484092038,630.0401195297381,14.597786614089273,27.188046969880816,19459.29917833238,50.89206512324745,97.70973111021885,163.727005831548,21.333099117153324,227.23914787910326,22.200928875980026,48.116855523199774,14.414069707236195,107.91705475916388,782.6612672973788,12.926877885707654,333.1462155423724,26.106739549511985,27.76903534630401,10.501107224437874,17600.84355698261,16.689883077437116,40.71711686893832,217.43909285246627,39459.583259122155,10.117831768700853,8.677011355641298,21.577952458057553,20.110062831430696,11.70691764698131,13.85092240339145,11.857028740399983,129.36102428318554,102.30019294394879,353.3710707405917,10.606923241110053,17.796029577300942,10.066769388562534,6.916897264367435,5.480998526501935,18.310806042129116,158.00102124913974,86.52107156828424,11.737062907544896,6.99810490506934,0.2243942,0.49011728,0.10997947
Pareto solution 2,789.8568333322619,905.041566341024,4110.727717370777,2504.569710972414,978.9370203762992,798.4140884712251,42644.80593060795,930.1035438914878,790.3627277113883,11740.70487494889,3212.0934446348856,3247.24822917063,856.6524248448259,4587.794364537984,790.0192486136657,926.7241986613699,914.4233558773412,800.7587668435553,4729.874975865807,795.3655720955576,799.9021262056776,806.5839539415938,794.0161487288751,870.550658834025,886.3968380342085,947.4241108675778,5090.398007813055,792.872589807419,792.7583531120945,900.4420686192425,5347.399619570297,791.1243184970808,801.7133411276773,798.9076017611915,929.6470200666517,787.9456853334705,805.1836604477103,3744.03092452493,11537.621176207205,899.3162354186024,804.3525894504892,789.3181021514501,1140.585251010998,1108.5760597700137,5774.202870581175,1049.9446045902878,807.6946376107771,799.9944076155662,11780.80483880185,874.4237096070465,789.6556598587049,802.9095773539448,11852.004406798995,807.4089497459972,1268.426513963028,803.4992555631325,807.9751730968383,791.8120841548625,793.0959108193492,883.6096703014628,1375.641882089698,806.0429926267097,804.5432274630839,790.641955877476,861.041982359111,869.1023790069994,1466.8749174860113,1344.944471090279,792.3115188352967,12282.573162289787,12078.329332423455,857.4451221557683,791.8224273628875,807.387994175835,794.0641350620172,789.5416923174926,807.0931550712412,1488.2222414584685,1461.8041116885179,966.4629576957923,12832.734318530318,1632.8761199010332,1460.9206517658913,800.8298235291695,14779.656436283825,12465.777599713285,2159.1632294904775,800.98670192598,931.4582349886514,795.3752616435959,804.6294336801548,813.4031656264815,797.5187665423691,4951.068170736953,12523.21800949605,5017.051032182511,842.2389914343366,2153.492440726359,790.966055879122,790.1910842889956,1029.8184905006492,802.1971648696053,72404.05458704894,796.701345503694,1250.7100020626349,789.128271601192,798.5709668680356,15372.654161587561,816.3489804830606,851.4622491985829,900.975186014286,794.17975597849,948.6092733246587,794.8306090723163,814.2675732830248,788.9905031463459,859.1177227099979,1365.1758628883654,787.8750900549057,1028.0395740721106,797.7600055280527,799.0067273756467,786.0557620589534,13978.812522476408,790.6973247234091,808.7177692923287,941.2592512799747,30372.86752978459,785.7683054671506,784.687690157356,794.3633959841682,793.262478764198,786.960119875861,788.5681234431686,787.072703195925,875.2007190783079,854.9050763485866,1043.2082539213625,786.1351240714575,791.526934598307,785.7300086820469,783.3676045889006,782.2906805355015,791.9130553975156,896.6806783521861,843.0707160915445,786.9827288212837,783.428510319427,0.22439426,0.4901172,0.10997949
