,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7146.535,41.42,777.718,959.867,24.535,168.486,19.252,20.728,21.53,16.349,21.112,21.906,114.327,20.194,116.195,21.363,120.578,33.675,26.178,26.097,20.596,608.483,57.096,149.815,16.194,19.107,115.48,451.516,107.329,16.382,46.748,19.817,16.023,17.059,17.537,21.588,19.192,21.519,15.626,205.997,12.647,19.959,16.227,102.16,160.154,13.588,12.525,13.04,235.659,10.846,16.163,51.461,20.123,114.37,248.961,494.169,141.479,162.023,12.413,181.933,17.523,28.652,17.744,122.006,18.745,15.218,175.423,227.387,276.432,87.542,16.474,1365.24,1451.526,15.695,1489.901,8.339,3.172,2.066,0.833,8.512,2.408,6.721,3.816,0.707,1.188,2.251,0.492,0.828,2.452,0.155,0.51,0.142,0.029,155.977,517.385,0.081,0.235,517.365,0.094,0.2,518.573,517.74,509.337,0.107,519.077,10.913,0.302,0.445,73.631,0.024,0.056,78.565,79.758,3.429,89.399,0.322,0.076,0.338,0.364,2.611,85.752,27.928,0.708,0.655,4.386,71.152,3.33,0.478,37.035,0.842,1.153,7.324,0.977,0.854,0.66,0.001,0.0,14.019,0.18467182,0.41194698,0.076074995
Pareto solution 1,7146.534642833358,41.42000183587288,777.7180326016141,959.8670299360529,24.5349945502262,168.4859925297815,19.25199500099302,20.72799442220162,21.529995076964497,16.34899491796864,21.11199525397501,21.906001832190668,114.32700578856873,20.19400074183909,116.1949977015089,21.363008774239916,120.57800632696069,33.67500795427395,26.177989940515545,26.09699795881056,20.59599066243277,608.4829777782234,57.0959992907251,149.81500281016346,16.193997313475847,19.106987575595213,115.48000271027922,451.5160127119939,107.32900253710068,16.382003107677974,46.74800793940335,19.817010434873282,16.023004306121493,17.059008110890545,17.537002173408837,21.587993213945538,19.191998344875174,21.518999596828507,15.626014308253389,205.9969930774738,12.64700041694823,19.959004373737116,16.227005503185183,102.1600079924599,160.154007017879,13.587998440164256,12.524996502630529,13.039993376542725,235.6589983981055,10.845989102454041,16.162999725848522,51.46100179838686,20.123008605585255,114.370001740784,248.96099436074837,494.16900744376926,141.4790045899178,162.02299494309605,12.412994850353016,181.93299844768885,17.522993206738875,28.65199713700349,17.744004774061295,122.00599779028323,18.744999453395167,15.218004664358887,175.42300405683494,227.38699477847217,276.4320101021199,87.54200288605966,16.47400023587511,1365.239981859835,1451.5259561775983,15.694993425836174,1489.9010228251864,8.33900029873621,3.1720091064103144,2.0659991337161046,0.8329974069238233,8.511989408638328,2.4080093143152226,6.720994855718573,3.815996253557387,0.7070109538667566,1.188008836562858,2.251013190685626,0.49200702689995524,0.8280095671434538,2.4519960680372606,0.154999185615452,0.509986449364078,0.14200760293169878,0.029003066202221817,155.97700520735802,517.3850140314171,0.08099356282764347,0.2349979492246348,517.3650143405148,0.0939851455113967,0.20000573991273995,518.5730188702682,517.7400109615219,509.3369895504484,0.10700089408555868,519.0770613460581,10.91299628337947,0.30200513015006436,0.4450140364110666,73.63099506945832,0.024000726887607016,0.055991532610732975,78.56500049576425,79.75800284075194,3.428994018195226,89.39900173545288,0.3220096542304418,0.07600572304727393,0.3380026405029639,0.3640003054047156,2.6110027937488667,85.75200034294119,27.92799914330203,0.7079920890173526,0.6549962913509262,4.386001943807059,71.15200003319,3.330010531080916,0.47798597728478853,37.03499710787332,0.8419822849778029,1.1529924613605544,7.324006319088539,0.9770019478696668,0.854016898401369,0.6600082970217045,0.001009298752705945,3.99771170123131e-06,14.0190019287827,0.1846717,0.4119471,0.07607497
