,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,240.914,0.952,0.807,203.053,0.494,0.99,0.607,1.0,4.159,0.623,16.542,116.284,4.801,0.868,0.771,7.183,4.034,136.119,37.409,32.579,2.913,0.833,0.614,0.645,93.969,1.148,83.298,1.927,5.265,44.261,2.256,8.332,2.403,0.659,13.418,0.676,102.038,0.996,0.18154022,0.27119553,0.049232896
Pareto solution 1,293.40670646373167,-6.545788197774442,-6.7270417175545845,246.08045154478316,-7.1182912927479265,-6.498288767940352,-6.9770391686982975,-6.485787177718862,-2.5370373294424127,-6.957042550285763,12.94171032821091,137.61920293813301,-1.7345387694387,-6.650789016685536,-6.772038939913642,1.2429608039834221,-2.6932902452760317,162.4129545843358,39.02546125391066,32.98795889289092,-4.09453802552828,-6.694537926511572,-6.968287669068786,-6.929537162367751,109.72546228577653,-6.300791726252186,96.38670567092487,-5.32703666742637,-1.1545380697777148,47.590461938919056,-4.915787682615999,2.6792115768411833,-4.732037752477851,-6.912039745517717,9.036710785362743,-6.890786655666716,119.81171848091134,-6.490788586756395,0.18154019,0.27119553,0.04923289
