,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.034,0.027,2543.369,0.013,2562.838,2567.063,0.009,0.025,0.0,0.02,0.0,0.001,0.0,2.218,3.475,2.067,10.392,3.286,49.998,2.286,52.042,234.596,111.067,30.731,743.456,55.718,510.849,9.465,1.133,14667.059,0.17359965,0.31017962,0.05384707
Pareto solution 1,-201.3178409771608,-201.32657107777686,2977.850739537638,-201.3440412791242,3002.18702001784,3007.4685408883597,-201.34904133675082,-201.3290411062444,-201.3602414658344,-201.3352411777014,-201.3602414658344,-201.35904145200402,-201.3602414658344,-198.5878095130356,-197.0165914044519,-198.77654168820936,-188.37029175422504,-197.25279412673262,-138.86279117098547,-198.50280853338336,-136.3078217244829,91.88473823761524,-62.526571381719805,-162.94652874058283,727.9597022460025,-131.71270876494327,437.2009830721722,-189.52897510826824,-199.9440251436754,18132.4632592923,0.17359962,0.31017965,0.053847067
