,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,28.115,35.581,33.789,27.361,6.528,1.879,366.866,3.592,28.051,6.703,2.67,6.088,2667.235,3.48,4.276,4.533,1.594,3.013,212.428,2697.687,0.16877683,0.24217197,0.040873017
Pareto solution 1,-111.36422646123901,-100.16521270127487,-102.85324758468778,-112.49522847409389,-143.7446607314596,-150.71821564687343,396.76228611159695,-148.14868884557654,-111.46022940276089,-143.48219571626032,-149.53171044972623,-144.40466908462258,3847.315880213253,-148.3167177328396,-147.12271082216103,-146.737227200887,-151.14571835976312,-149.01722584323215,165.10527718153207,3892.9939088642423,0.16877685,0.24217199,0.040873025
Pareto solution 2,-41.62461783553772,-32.29210636890093,-34.53213346011171,-42.567118523766794,-68.60831404987152,-74.41960783441641,381.8141426418256,-72.27833747830232,-41.70462028680595,-68.38959221472214,-73.43085350346041,-69.15832199999068,3257.2754631466723,-72.41835957272156,-71.42335579212272,-71.10211746276104,-74.7758620734578,-73.00211633138201,188.76663495281736,3295.3404870224967,0.16877684,0.24217202,0.04087303
