,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,23.571,10.38,238.056,261.777,202.001,1.301,266.946,0.381,11.003,1682.676,292.152,265.024,1670.278,0.842,268.19,156.144,0.938,25.651,139.756,3.51,6.067,2.564,0.78,3.286,0.336,10.317,0.929,9.869,3.282,36.333,0.17889181,0.27667823,0.04949547
Pareto solution 1,-57.88250134373084,-77.66898588460026,263.8450100929331,299.4265172239611,209.7625208036884,-91.28749689382676,307.18003744798625,-92.66750339066493,-76.73448015082249,2430.7750102467835,344.9890238434091,304.2969875825984,2412.1779926115414,-91.97600253690325,309.0460168784957,140.97700565924424,-91.83198691494181,-54.76247384605813,116.39500467958896,-87.97398369607254,-84.13849365915667,-89.39300158453989,-92.06900137358753,-88.3099874127729,-92.73499383471062,-77.76348232662713,-91.8454899139324,-78.43548976002785,-88.31600238505052,-38.73949608203111,0.17889181,0.27667826,0.049495474
Pareto solution 2,64.2977431806894,54.40449937582298,225.16149583015795,242.95225016288782,198.1202511855356,47.59524233677803,246.82900874046868,46.90524215722235,54.871752242711864,1308.6264836316295,265.73350270539595,245.38748534220645,1299.3279748140085,47.25098951523978,247.76199922293927,163.72749361331353,47.3229957917888,65.85775079179894,151.4364931234859,49.251997401223434,51.16974548854478,48.54248999142146,47.20449316576105,49.083995542873254,46.871493866336095,54.357246551514436,47.31624582672521,54.021247438109185,49.08099112559785,73.86924120824415,0.17889181,0.27667826,0.049495474
Pareto solution 3,105.02449135549614,98.42899446263073,212.26699107589957,224.1274944758634,194.23949464615134,93.88948874697962,226.71199917129616,93.42949067318477,98.74049637388998,934.5769747599115,239.31499565939157,225.75098459540914,928.3779688814975,93.65998686595412,227.33399333775378,171.3109895980033,93.70799002736567,106.06449233775129,163.11698927145153,94.99399110032209,96.27249187111192,94.52098718340858,93.62899134554391,94.88198986142197,93.406989766685,98.39748951089496,93.70349107361108,98.17349317082153,94.87998896248064,111.40548697166923,0.17889178,0.2766783,0.049495474
Pareto solution 4,-17.155753168924093,-33.644490797792514,250.9505053386747,280.6017615369367,205.88176426430414,-44.99325048362516,287.0630278788137,-46.14325487470251,-32.86573601964437,2056.7255013750655,318.5705167974047,284.66048683580107,2041.2279866790304,-45.56700518618891,288.61801099331024,148.560501643934,-45.44699267936494,-14.555732300105774,128.0755008275546,-42.23198999697388,-39.03574727658952,-43.41450439255277,-45.64450319380467,-42.51199309422418,-46.199497934361716,-33.723239367246606,-45.45824466704653,-34.283244027315504,-42.51700454816773,-1.203250318606024,0.17889181,0.27667826,0.049495474
Pareto solution 5,23.57099500588265,10.380004289015233,238.05600058441632,261.77700584991226,202.00100772491987,1.3009959265764337,266.9460183096412,0.38099364125991997,11.003008111533745,1682.6759925033475,292.1520097514003,265.02398608900376,1670.2779807465195,0.8419921645254362,268.19000510812475,156.14399762862377,0.9380015562119297,25.65100924584658,139.75599697552025,3.510003702124777,6.066999105977629,2.563992799434345,0.7799949859781918,3.2860012243245365,0.3359979659871897,10.317003592133915,0.9290005798393395,9.86900170539684,3.281993288715057,36.33299544481906,0.17889181,0.27667826,0.049495474
