,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,163.024,29.293,15.773,17.734,408.279,26.089,20.741,4.507,14.304,41.439,15.917,237.864,13.247,19.099,191.987,291.072,4.772,8.887,0.14212145,0.27190357,0.03864333
Pareto solution 1,123.84611588225744,56.98061329861912,50.22061393252716,51.20111601567078,246.47361371327497,55.37861432762065,52.704611983419454,44.587617664226855,49.4861141140309,63.05361435660279,50.29261357198902,161.26611031984794,48.95761326399497,51.8836125980697,138.327613296241,187.8701099674745,44.720117000736536,46.77761369083055,0.14212143,0.2719035,0.03864332
