,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,37.842,0.888,0.011,0.755,0.084,1.313,18.029,2.323,0.001,732.416,17.099,633.079,0.044,663.716,0.79,3.777,3.968,134.731,0.249,0.036,185.111,698.717,0.733,2.035,736.58,593.791,0.135,1.16,1.291,0.001,17.155,6.297,5.918,4.342,0.102,683.529,0.188,6.794,0.0,368.792,0.0,2.163,0.888,0.0,36.127,116.819,0.1964096,0.28169048,0.055326715
Pareto solution 1,-5.408924624000065,-60.839928089782916,-62.155435836195466,-61.03944475856406,-62.04593224803102,-60.20242607207547,-35.12843918280123,-58.68744516247898,-62.170445267231116,1036.4521248219608,-36.52343165530692,887.4464985299055,-62.105940968442155,933.4020409319492,-60.98694800460362,-56.50643706527444,-56.2199382058152,139.92456460492167,-61.798428905533,-62.11793401140494,215.4945519230505,985.9035515043506,-61.072422001245286,-59.11944124085676,1042.6981364014573,828.5145706533222,-61.96942040441354,-60.43193259919644,-60.2354468203539,-62.170445267231116,-36.43943684897022,-52.72645325213671,-53.29494089081163,-55.658933529859496,-62.018929774032586,963.1215264870189,-61.88995018018613,-51.980941338435514,-62.17195346126755,491.01607184464956,-62.17195346126755,-58.92742203666057,-60.839928089782916,-62.17195346126755,-7.981439590450464,113.05656096924554,0.19640958,0.28169042,0.055326696
Pareto solution 2,59.467475725120266,31.75197399222884,31.094221931755783,31.65221565783827,31.148973725838005,32.07072681381578,44.60771935208629,32.82821545588081,31.086717216237957,580.3980022608339,43.91022220946684,505.89518911480627,31.11896755289922,528.872967566761,31.678467660284923,33.91872041084969,34.061971653312526,132.1342219257227,31.272725397087015,31.112972844151045,169.91921535819546,555.1237228529617,31.635727036497656,32.612219229425136,583.5210080505822,476.42923242744746,31.18722783491353,31.955971737522077,32.054216439676566,31.086717216237957,43.9522205190018,35.80871503651838,35.52446849808109,34.34247127219055,31.162473150104006,543.7327030933629,31.226966572493666,36.18146827426915,31.085964931952958,307.67997214671186,31.085964931952958,32.70822701879001,31.75197399222884,31.085964931952958,58.181220054628284,118.70022022118046,0.19640954,0.28169048,0.055326696
Pareto solution 3,81.09294250816038,62.615941352899426,62.17744118773953,62.549435796639045,62.21394238379435,62.8284444424462,71.18643886371547,63.33343566200074,62.17243804406098,428.37996140712494,70.72144016439142,378.7114193097732,62.19393706001301,394.02994311169823,62.566939548581104,64.06043956955773,64.1559416063551,129.53744103265637,62.296443497960354,62.18994179600304,154.72743650324378,411.53044663583205,62.53844338241197,63.18943938618577,430.4619652669571,359.06745301882256,62.23944391468922,62.751939849761584,62.81743752635339,62.17243804406098,70.74943964165914,65.32043779940341,65.13093829437867,64.34293953954057,62.22294079148287,403.936428628811,62.26593882338693,65.5689381451707,62.17193772969313,246.56793891406596,62.17193772969313,63.253443370606874,62.615941352899426,62.17193772969313,80.2354399363212,120.58143997182543,0.19640954,0.28169048,0.055326696
