,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,22.898,2.487,55.139,163.883,1.238,0.448,0.189,62.771,116.602,2.487,2.44,2.269,2.628,11.417,0.17186011,0.27454042,0.04718255
Pareto solution 1,20.642215740802236,-4.871536800437212,60.94346315204639,196.8734546186239,-6.432786209573237,-7.4202868763428285,-7.744037087057677,70.48346545614686,137.7722091214141,-4.871536800437212,-4.930285629170697,-5.144036310092673,-4.695287016745965,6.290965437880615,0.1718601,0.27454042,0.047182545
