,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.947,250.725,10.146,9.345,10.11,92.145,11.807,176.358,125.886,30.749,250.351,7.434,9.854,13.801,10.906,11.245,64.499,2060.286,52.33,9.943,292.691,9.854,11.728,172.396,222.49,10.669,9.269,137.592,10.072,3061.841,44.873,5.231,9.62,10.744,162.197,10.401,105.199,0.17763542,0.25943178,0.046084274
Pareto solution 1,-82.03533591691667,274.6316441269496,-86.2368686156151,-87.43837353043818,-86.29086727879985,36.76161911266172,-83.74533979638363,163.0811372684284,87.37314856417834,-55.3323731107339,274.0706325021274,-90.30486033276611,-86.67485392156232,-80.75437533113654,-85.09686602930378,-84.5883670646599,-4.707361322902216,2988.972962876578,-22.960850381236014,-86.54136492845828,337.58065072013414,-86.67485392156232,-83.86385611779588,157.13813035254043,232.27914609046138,-85.45236300509714,-87.55234952779574,104.93213267221563,-86.34786394221919,4491.305608706665,-34.14637192698683,-93.60934977052239,-87.02587989122549,-85.33986001363519,141.83964275374956,-85.85437230822936,56.342633072557874,0.17763539,0.25943178,0.046084266
Pareto solution 2,-34.54415933528003,262.67832475667024,-38.04543586213367,-39.04668995781958,-38.090434026059256,64.45330463349205,-35.96916256816917,169.71956922175133,106.62957809333,-12.291688886004295,262.210814888803,-41.43542895975952,-38.41042289502798,-33.47669145840155,-37.095433706874246,-36.671684569671015,29.895820576157917,2524.6294294911877,14.684579333182228,-38.29918278950299,315.13583061202155,-38.41042289502798,-36.067925447284324,164.76706318773822,227.38457630267234,-37.391681186702044,-39.14167067767926,121.26206503054317,-38.13793196763709,3776.573306792754,5.363311378389881,-44.18917015788975,-38.70294453641395,-37.297928693817084,152.01832361233687,-37.72668821725051,80.77081554467713,0.1776354,0.25943175,0.046084262
Pareto solution 3,107.92937040962988,226.81836664583216,106.5288623983106,106.12836076003623,106.51086573216253,147.52836119598305,107.35936911647423,189.63486508172014,164.39886668078498,116.83036378818451,226.63136204882971,105.17286515926025,106.38287018457504,108.35636015980344,106.90886326041436,107.07836291529566,133.7053662733383,1131.5988293350165,127.62086847643695,106.42736362736287,247.80137028768377,106.38287018457504,107.31986656425033,187.65386169333158,212.70086693930523,106.79036426848324,106.09036587267019,170.2518621055258,106.49186395610923,1632.3764010510204,123.89236129452001,104.07136868000816,106.26586152802065,106.82786526563723,182.5543661880988,106.65636405568603,154.05536296103492,0.1776354,0.25943175,0.046084262
Pareto solution 4,12.947017246356609,250.72500538639088,10.14599689134775,9.344993614799023,10.109999226681339,92.14499015432239,11.807014660045297,176.35800117507426,125.88600762248166,30.748995338725308,250.35099727547856,7.434002413247072,9.854008131506362,13.80099241433345,10.90599861555529,11.244997925317875,64.49900247521805,2060.2858961057973,52.33000904760047,9.942999349452293,292.69101050390896,9.854008131506362,11.728005223227228,172.395996022936,222.4900065148833,10.669000631693052,9.269008172437225,137.5919973888707,10.072000006945018,3061.841004878843,44.87299468376659,5.231009454742889,9.619990818397582,10.74400262600102,162.19700447092418,10.400995873728334,105.1989980167964,0.1776354,0.25943175,0.046084262
Pareto solution 5,60.438193827993246,238.77168601611152,58.33742964482917,57.73667718741763,58.310432479421934,119.83667567515272,59.58319188825976,182.9964331283972,145.14243715163332,73.78967956345491,238.49117966215414,56.30343378625366,58.1184391580407,61.07867628706845,58.90743093798483,59.161680420306766,99.10218437427818,1595.942362720407,89.97543876201871,58.18518148840758,270.24619039579636,58.1184391580407,59.52393589373878,180.0249288581338,217.59543672709427,58.72968245008815,57.67968702255371,153.92192974719825,58.28193198152712,2347.1087029649316,84.3826779891433,54.651189067375526,57.942926173209116,58.785933945819124,172.3756853295115,58.52867996470718,129.62718048891566,0.1776354,0.25943175,0.046084262
