,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,Node_150,Node_151,Node_152,Node_153,Node_154,Node_155,Node_156,Node_157,Node_158,Node_159,Node_160,Node_161,Node_162,Node_163,Node_164,Node_165,Node_166,Node_167,Node_168,Node_169,Node_170,Node_171,Node_172,Node_173,Node_174,Node_175,Node_176,Node_177,Node_178,Node_179,Node_180,Node_181,Node_182,Node_183,Node_184,Node_185,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,3.31,5.836,2.48,4.738,1.267,3.546,2.652,14.251,120.066,146.7,0.81,3.063,3.212,2.364,68.203,3.728,43.701,3.008,0.662,628.113,2.052,626.914,3.275,0.987,1.548,2.097,1.946,22.072,2.51,19.351,35.809,2.365,0.182,8212.325,4.126,13.905,1.352,11.92,0.973,2.352,3.643,9.526,2.035,15.637,55.859,1.789,2.171,2.379,8.374,7789.204,4.26,1.432,0.363,337.035,4.304,4.907,24.979,30.076,975.843,35.647,3.137,5.073,3.369,969.266,994.625,111.866,3.254,13.075,3.219,0.607,4.051,51.73,9.867,1.681,2433.91,6.401,275.705,5.96,2428.558,332.303,27.211,1.108,4.266,1.1,2.083,2190.009,2.696,4.331,2.389,15.042,37.571,4.493,368.855,24.645,394.662,30.953,3.646,3.376,2291.533,2298.018,6.748,5.172,6.826,5.585,386.29,96.6,17.681,5.62,29.737,138.258,5.958,14.077,46.936,3.787,8.268,328.216,16.67,4.334,360.935,62.479,2330.633,152.004,4.809,2337.633,5.708,103.91,2353.587,7.021,618.231,411.528,2749.597,838.197,145.444,132.961,17.959,46.855,4.885,8.154,396.303,21.569,112.1,47.546,6.284,36.324,28.434,22.558,5.045,48.14,78.566,86.263,115.784,4.594,26.334,4.476,18.44,341.617,474.564,67.807,84.235,8.845,4.527,102.358,635.083,7.891,6.087,407.423,6.514,460.334,557.713,597.063,501.568,76.849,63.141,12.263,42.456,15.817,9.431,15.818,12.984,11.792,12.59,10.827,12.594,12.098,8.479,269.189,0.18453848,0.32354906,0.059707254
Pareto solution 1,-141.35999700194952,-137.57101802062243,-142.6049660590652,-139.21797432608582,-144.42447673694915,-141.00600994085107,-142.34695073273542,-124.94848667974657,33.77401316677424,73.72500433823734,-145.10996867120411,-141.73048054744868,-141.50697609560302,-142.77895241797887,-44.02048601450224,-140.7330160358033,-80.77347903034752,-141.81302024891193,-145.33198385709693,795.844460952525,-143.247011523119,794.0460004760898,-141.41249362678718,-144.84447837538028,-144.0029571928353,-143.17950767983348,-143.40596202385495,-113.21699461434764,-142.56000168318133,-117.29844251702889,-92.61151089083432,-142.7774917917559,-146.05195802610615,12172.162463009125,-140.13599222709308,-125.46746722458192,-144.2970012993319,-128.44496809998964,-144.86549993709923,-142.79699544779214,-140.8604628336907,-132.0359606287784,-143.27247224296661,-122.86950004930986,-62.53647232671938,-143.6414951622428,-143.06850008688707,-142.75647023003694,-133.76399600948207,11537.481304533198,-139.93499860291922,-144.17700083120872,-145.78045338701122,359.22752620135543,-139.8690126653164,-138.96445543734444,-108.85648118388781,-101.21099073821824,1317.4395267270156,-92.85449035898637,-141.61947295450227,-138.71549026565117,-141.2715002366749,1307.5739417018776,1345.6125435515132,21.473993823878118,-141.4439686899059,-126.71243628169759,-141.4964939544734,-145.41446627910045,-140.24848908599233,-68.72998574782832,-131.52448369316699,-143.80348147434415,3504.5397626869963,-136.72351113453624,267.23249668331573,-137.3849743354367,3496.5123900833423,352.1295307315654,-105.50849676298094,-144.66298840724266,-139.92600572774245,-144.67498845405498,-143.2004719620927,3138.6885216546943,-142.2809647951326,-139.8284874475612,-142.74149165131894,-123.76197131127992,-89.96846478075895,-139.5854793396793,406.9575262391063,-109.35750461809948,445.6680018314473,-99.89548202645165,-140.85599503583217,-141.26096081608557,3290.9746718106035,3300.7020987788856,-136.20301268401818,-138.56699326631497,-136.08601938753054,-137.94751590939268,433.11002444168116,-1.4249881067407841,-119.80347376889767,-137.89499064482516,-101.71951778165385,61.062005059065996,-137.3879528673424,-125.20950917771188,-75.92096368058264,-140.6445192705287,-133.92294651021803,345.9990247161536,-121.31994746510827,-139.82399100997281,395.0775156945738,-52.606476549121,3349.6249435654026,81.68102105493927,-139.11149181045766,3360.124955886451,-137.76299012988966,9.54001886835249,3384.055397688062,-135.79352182644652,781.0215678060558,470.96703608412463,3978.0704309378634,1110.970558998073,71.84102562843327,53.11651344308848,-119.38650794183195,-76.04245341465867,-138.9974770458757,-134.09398297695589,448.1295293336552,-113.97147965784097,21.825030992800748,-75.00598159094079,-136.89898675940276,-91.83898281752772,-103.67400750637898,-112.48797029070192,-138.7574474698995,-74.11499959492357,-28.475986234421725,-16.9304805747488,27.35100959027841,-139.43397516870755,-106.82400547474754,-139.61096869925677,-118.6649585876803,366.1005243733807,565.5210039855665,-44.61447401184705,-19.97247812180649,-133.057511153238,-139.53447198079448,7.212038426492654,806.2995088976895,-134.48846661607968,-137.19446285239246,464.80952280345264,-136.55396393375122,544.1760424370077,690.2445358795339,749.269501220122,606.0270044820318,-31.051499861481716,-51.61350847506401,-127.93048399274267,-82.64098989548074,-122.59948467616778,-132.17850056430325,-122.59799541021493,-126.8489905136812,-128.6369974887166,-127.43997133939047,-130.08447807568882,-127.43398563584924,-128.17798853821296,-133.60647749523923,257.45850867420995,0.18453845,0.32354903,0.05970724
Pareto solution 2,3.309989791669068,5.835978165864617,2.4800104202586226,4.738002522267379,1.2670033016693196,3.545981165734702,2.652020637811802,14.250996673137706,120.0659989574624,146.69999187844905,0.8100062921885183,3.0630007613362977,3.212006115877557,2.364019514316169,68.20299950327808,3.72797948907737,43.70100177273707,3.007976680338288,0.6619961682599751,628.1129617613187,2.0519824975335723,626.913988110362,3.2749920417772955,0.9869998227377437,1.5480163310785429,2.096982673079765,1.9460154970429357,22.071991383403656,2.509989057492021,19.351023728305336,35.808980532412534,2.3649932651314884,0.18201577556465054,8212.325039504998,4.125992974906694,13.905007256603312,1.3519845401033308,11.920009059642325,0.9729878349025967,2.3519908277739887,3.64301257050829,9.526014040449809,2.0350062976576737,15.636987760095508,55.85900743514458,1.7889910181402229,2.1709877350440365,2.3790052529666355,8.373988066669881,7789.2041908151,4.25999111100009,1.4319896254737614,0.3630188682946027,337.0350049622085,4.303981736068636,4.907019888049945,24.9790027236877,30.07599396748992,975.8430151575558,35.64699422031117,3.1370058233005693,5.072994282534637,3.3689876351854764,969.2659584741305,994.6250072807343,111.86598606219832,3.25400627972067,13.075027885192867,3.2189942099639666,0.6070078869242934,4.050992682329706,51.72999968106069,9.86699866419076,1.6809977567618262,2433.909848677453,6.400982756588746,275.70498573101116,5.960002516033455,2428.558228755377,332.303008280679,27.210989950981457,1.10799552147364,4.265983974473784,1.0999978769095833,2.083006484906946,2190.0090117760083,2.696011262880347,4.330996161261282,2.3889933587561245,15.04200453213798,37.57101127246278,4.493003953160041,368.8550058823673,24.64498471423576,394.66198901393363,30.95299977533432,3.645991102413973,3.376011528934214,2291.533102333371,2298.018053645559,6.7479817236007875,5.171994668736261,6.825974867948389,5.58497957335112,386.29000528074494,96.5999969151303,17.6810052803703,5.619991643107824,29.736978325177006,138.2579911656794,5.958019214740489,14.076981674494164,46.9360096192695,3.7869773325937786,8.268021066179244,328.2160042704045,16.670022816229903,4.333996172964362,360.93499825601793,62.47900223356601,2330.633264410084,152.00400182959493,4.80899325266364,2337.633272624116,5.707994373042311,103.91000156519249,2353.58691958501,7.020975628648557,618.2310306103618,411.52801184905184,2749.5969417515444,838.1970223517292,145.44400368526885,132.9609979483498,17.958982498414116,46.85501646321882,4.885003095718275,8.153999141664826,396.30300794539994,21.568998967763946,112.10000845483592,47.54600006567489,6.283996620033577,36.324001634594424,28.43398517536025,22.558007599167468,5.045020426391602,48.1399880630197,78.56599935666509,86.2630019364583,115.78399418648769,4.594001960519563,26.33398414313706,4.476006273486746,18.44001540118188,341.6170037435587,474.56399283665723,67.80700511840405,84.23500118510901,8.844982744120898,4.527006472439098,102.35801102398636,635.0829984980501,7.891007662271477,6.087012558040442,407.42300239860947,6.514009450490448,460.3340172776293,557.713011712658,597.0629909930276,501.56798958766785,76.84899027195843,63.14098452957023,12.26299846447364,42.455996915959076,15.816995622212744,9.430987416766584,15.81799085282546,12.983996503825438,11.791989467157691,12.590006900041772,10.827002409176202,12.593994982425102,12.097997820804267,8.479002796142595,269.1889938741059,0.18453845,0.32354903,0.05970724
Pareto solution 3,-69.02500360514023,-65.86751992737891,-70.06247781940328,-67.23998590190922,-71.57873671763991,-68.73001438755819,-69.84746504746181,-55.34874500330443,76.92000606211832,110.2124981083432,-72.1499811895078,-69.33373989305619,-69.14748498986273,-70.20746645183135,12.09125674438792,-68.50251827336297,-18.536238628805222,-69.40252178428682,-72.33499384441848,711.9787113569218,-70.59751451279271,710.4799942932259,-69.06875079250494,-71.92873927632127,-71.22747043087838,-70.54126250337686,-70.72997326340601,-45.57250161547199,-70.02500631284465,-48.97370939436178,-28.401265179210895,-70.2062492633122,-72.93497112527075,10192.243751257061,-68.0049996260932,-55.781229983989306,-71.47250837961428,-58.262479520173656,-71.94625605109832,-70.22250231000908,-68.6087251315912,-61.2549732941643,-70.61873297265447,-53.61625614460718,-3.3387324457874,-70.92625207205128,-70.44875617592152,-70.18873248853515,-62.695003971406095,9663.342747674149,-67.83750374595957,-71.37250560286748,-72.70871725935831,348.131265581782,-67.78251546462388,-67.02871777464725,-41.938739230100055,-35.56749838536416,1146.6412709422857,-28.6037480693376,-69.24123356560085,-66.82124799155827,-68.95125630074472,1138.419950088004,1170.1187754161238,66.66998994303822,-69.09498120509261,-56.81870419825236,-69.13874987225472,-72.40372919608808,-68.09874820183131,-8.499993033383817,-60.82874251448811,-71.06124185879116,2969.2248056822245,-65.16126418897375,271.4687412071635,-65.71248590970163,2962.5353094193597,342.2162695061222,-39.14875340599974,-71.77749644288451,-67.83001087663433,-71.7874952885727,-70.55873273859288,2664.3487667153513,-69.79247676612613,-67.74874564314996,-70.1762491462814,-54.35998338957097,-26.198726754148083,-67.54623769325963,387.9062660607368,-42.35625995193186,420.1649954226905,-34.47124112555866,-68.6050019667091,-68.94247464357568,2791.2538870719873,2799.3600762122223,-64.7275154802087,-66.69749929878935,-64.63002225979108,-66.18126816802078,409.70001486121305,47.58750440419476,-51.06123424426369,-66.13749950085867,-35.99126972823842,99.6599981123727,-65.71496682630095,-55.56626375160886,-14.492477030656573,-68.42877096896746,-62.82746272201939,337.10751449327904,-52.324962324439184,-67.74499741850423,378.00625697529586,4.936262842222504,2840.1291039877433,116.8425114422671,-67.15124927889701,2848.8791142552836,-66.02749787842367,56.72501021677249,2868.821158636536,-64.38627309889898,699.6262992082088,441.24752396658823,3363.833686344704,974.5837906749011,108.64251465685106,93.03875569571915,-50.71376272170892,-14.593718475719925,-67.05623697507872,-62.96999191764553,422.2162686395276,-46.201240345038514,66.96251972381833,-13.729990762632951,-65.30749506968459,-27.75749059146665,-37.62001116550937,-44.96498134576723,-66.85621352175394,-12.987505765951937,25.04500656112168,34.66626068085475,71.56750188838305,-67.41998660409399,-40.24501066580524,-67.56748121288501,-50.11247159324921,353.8587640584697,520.0424984111119,11.5962655532785,32.13126153165126,-62.106264204558556,-67.50373275417769,54.78502472523951,720.6912536978698,-63.2987294769041,-65.55372514717601,436.11626260103105,-65.01997724163039,502.2550298573185,623.978773796096,673.1662461065748,553.7974970348498,22.898745205238356,5.763738027253112,-57.83374276413451,-20.092496489760833,-53.391244526977516,-61.37375657376833,-53.39000227869474,-56.93249700492788,-58.42250401077945,-57.42498221967435,-59.62873783325631,-57.41999532671207,-58.039995358704346,-62.56373734954832,263.3237512741579,0.18453845,0.32354903,0.05970724
