,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.316,38.226,3607.515,1.908,3609.81,4.327,17.943,1.675,0.13002606,0.24912804,0.03239314
Pareto solution 1,455.2654645854018,474.2204769021919,2258.8648373910764,456.0614921754277,2260.012539792515,457.2709953656158,464.0789721115543,455.9449946705645,0.13002607,0.24912801,0.03239314
