,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,Node_140,Node_141,Node_142,Node_143,Node_144,Node_145,Node_146,Node_147,Node_148,Node_149,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.001,0.0,0.525,0.0,0.192,0.308,0.0,1.868,0.402,0.0,0.374,0.0,0.194,0.0,0.005,9.795,0.0,0.001,0.031,0.003,0.0,0.018,0.0,0.123,0.0,0.0,0.215,0.0,0.137,0.038,0.028,0.001,0.055,0.063,0.033,6.453,6.453,5.64,0.0,18.537,0.087,0.056,0.098,0.001,0.014,0.072,0.026,0.036,0.016,0.034,0.052,0.131,0.127,0.035,0.029,0.01,0.003,0.03,0.0,0.0,0.027,0.499,2.764,0.01,0.05,0.509,1.666,0.024,0.0,0.0,0.896,27.167,3.272,1.32,0.027,0.0,0.0,0.0,0.02,0.0,74.549,0.075,0.0,0.047,26.667,0.132,0.266,0.023,24.822,0.011,0.085,0.122,0.181,0.117,318.545,0.0,0.066,0.162,0.124,0.269,22.377,0.119,0.022,0.016,0.074,0.147,0.004,0.003,1.943,0.027,0.061,0.0,1.962,0.0,2.459,0.017,0.161,0.017,0.193,0.005,0.185,0.049,0.721,0.002,0.252,0.0,0.0,0.634,0.0,0.439,648.977,0.702,0.054,2.356,0.081,0.223,0.057,0.204,1.201,0.045,0.037,0.518,1.892,0.439,0.117,0.082,0.038,150.71,1022.068,953.871,0.1637701,0.29929718,0.049015928
Pareto solution 1,5.58812467865809,5.587373768670034,5.981124393920709,5.587373768670034,5.731373629927845,5.8183755083955475,5.587373768670034,6.988374410772053,5.888875872964576,5.587373768670034,5.867876016767781,5.587373768670034,5.732874500886595,5.587373768670034,5.5911238107778445,12.93362476100522,5.587373768670034,5.58812467865809,5.610624456796273,5.589624600599478,5.587373768670034,5.600875438685932,5.587373768670034,5.679624899423914,5.587373768670034,5.587373768670034,5.748624393034191,5.587373768670034,5.690124827522311,5.615874420845472,5.608373624866829,5.58812467865809,5.628625180873314,5.6346234451128225,5.612125327755024,10.427124825685638,10.427124825685638,9.817375001684098,5.587373768670034,19.490125124092447,5.652624169189863,5.629373481063624,5.660873265358816,5.58812467865809,5.597873696768431,5.641375940901156,5.606873702925441,5.614374498904084,5.599374567727182,5.612875288725718,5.62637434894387,5.685624824443806,5.68262474330669,5.6136235889160275,5.609124534854885,5.594874564648677,5.589624600599478,5.609874495825579,5.587373768670034,5.587373768670034,5.607625324676519,5.961624459665302,7.660374316901965,5.594874564648677,5.6248744270024815,5.969125255643945,6.836875888824665,5.6053744927470746,5.587373768670034,5.587373768670034,6.259374149308627,25.96262463886645,8.041373707616117,6.577373971432394,5.607625324676519,5.587373768670034,5.587373768670034,5.587373768670034,5.60237536062732,5.587373768670034,61.49912646996955,5.643625112050216,5.587373768670034,5.622625255853421,25.587624342782,5.6863747854145,5.786875724100355,5.6046245317763805,24.20387508657897,5.5956254746367335,5.651124247248475,5.678873989435857,5.723124533758892,5.675124896345409,244.4961358803248,5.587373768670034,5.636874277042267,5.708874563552683,5.680374860394608,5.789123234469031,22.370125293148714,5.6766231575064126,5.6038745708056865,5.599374567727182,5.642875151079522,5.697624674483592,5.590375510587535,5.589624600599478,7.0446252796435544,5.607625324676519,5.633125183951819,5.587373768670034,7.0588743008324,5.587373768670034,7.43162506988628,5.600124528697876,5.708124602581989,5.600124528697876,5.732125251678923,5.5911238107778445,5.726123665878646,5.624123517014425,6.128125048078658,5.588874639628784,5.7763757960019575,5.587373768670034,5.587373768670034,6.062874647558829,5.587373768670034,5.916624903388936,492.32013839268166,6.113873417092066,5.62787521990262,7.354374344817984,5.648125115128721,5.754624318054084,5.63012439105168,5.740374347847876,6.488124582596015,5.621124384894671,5.615126120655162,5.97587442987151,7.006374660340413,5.916624903388936,5.675124896345409,5.648875076099415,5.615874420845472,118.61987746764771,772.138386022496,720.9906245594202,0.16377003,0.29929712,0.049015902
