,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,4.72,12.051,1598.69,5.12,5.555,3217.729,1514.47,101.848,0.124,0.076,52.681,1836.506,0.135,5.967,0.0,44.805,5.668,5.743,5.838,5.672,0.0,8.763,21.264,0.003,0.004,3217.156,0.0,2018.896,15.205,90.734,55.055,0.001,0.001,0.0,0.063,0.016,6.706,3217.143,5.794,2295.415,15.571,5.182,6.989,2317.729,5.367,2347.127,18.584,22.499,6.15,68.212,2532.464,6.488,15.711,0.05,0.048,121.082,16.368,8.481,6.097,28.639,86.379,3217.121,0.042,7.136,0.0,0.039,22.594,0.02,3081.54,19.687,0.0,4.537,0.037,14.312,2708.371,4.932,16.683,0.077,3217.121,0.0,0.0,2728.467,3097.369,0.18,0.002,0.104,0.03,18.605,3217.121,0.0,0.0,95.065,3.981,12.665,7510.598,3217.117,4.151,0.01,4.221,7508.251,7999.073,3088.181,4.926,4.333,454.914,37.596,0.16198894,0.27631468,0.04475992
Pareto solution 1,-362.4109006370418,-351.4142543775961,2028.5442137828795,-361.8108708746149,-361.1583420744864,4457.102715026122,1902.2141245004605,-216.71874777966877,-369.30482318566646,-369.3768191486015,-290.4693388787564,2385.26832726493,-369.28827457595617,-360.5403370980639,-369.4908523844788,-302.28333428676706,-360.98876637843205,-360.87634996074485,-360.73378463916015,-360.98286974738585,-369.4908523844788,-356.3463107129792,-337.59483377216384,-369.4862872507656,-369.48476553952787,4456.242948176805,-369.4908523844788,2658.85298641806,-346.6832541394979,-233.38976013765205,-286.90834436856676,-369.48933067324106,-369.48933067324106,-369.4908523844788,-369.3963160738349,-369.46688543248456,-359.431865568331,4456.223546358524,-360.7997888640966,3073.6317151167896,-346.1342968104873,-361.71785627520876,-359.0073081330047,3107.1027048601536,-361.44023908127565,3151.199423748767,-341.61481443443336,-335.742340554134,-360.26576332660625,-267.17289089865517,3429.2052246892126,-359.7588432705379,-345.92430065968074,-369.41590810602065,-369.41885642154375,-187.86786356795346,-344.93880241934676,-356.7693464370677,-360.3453678457299,-326.5323735016864,-239.92237137426855,4456.190829566913,-369.42789158201776,-358.7867551104864,-369.4908523844788,-369.4323616087786,-335.59987033950165,-369.46079858753365,4252.8190682060085,-339.9602387842606,-369.4908523844788,-362.6853793015471,-369.4353099243017,-348.0227404565085,3693.0655783915427,-362.0928629883565,-344.466311080032,-369.37529743736377,4456.190829566913,-369.4908523844788,-369.4908523844788,3723.209536727518,4276.562328648288,-369.2208437467343,-369.4878089620033,-369.3348769826116,-369.4457716890611,-341.58333403320285,4456.190829566913,-369.4908523844788,-369.4908523844788,-226.8932895429316,-363.51927705982234,-350.49342886486556,10896.406422823202,4456.184362294152,-363.2643904275028,-369.4758254860062,-363.1592972451472,10892.885943874717,11629.119514056947,4262.78018996818,-362.10180304187816,-362.9912432603305,312.880179273634,-313.0968045559712,0.1619889,0.27631462,0.0447599
Pareto solution 2,4.719946344084747,12.051039887592196,1598.6900107356632,5.119966185702651,5.554985385788314,3217.7290194900706,1514.4699631024196,101.84804032342072,0.1239979783349554,0.07599274413223611,52.68097959069564,1836.5060863903636,0.13501849643944297,5.966988703403331,-2.1487539925146848e-05,44.80498265202186,5.668031887034886,5.742976165493019,5.838023676005832,5.671966937188699,-2.1487539925146848e-05,8.763002330670133,21.263979032300995,0.00301004656648729,0.00403244630433619,3217.155857441685,-2.1487539925146848e-05,2018.8958750102756,15.205036083534651,90.7340320847652,55.054979893611744,0.0009890238288789988,0.0009890238288789988,-2.1487539925146848e-05,0.06299875676631927,0.01595648045622511,6.70596972322528,3217.1429228961642,5.794012933802151,2295.4150116249366,15.571007636208378,5.1819759186400915,6.989008013442799,2317.7290047871793,5.367042159559787,2347.1268253051676,18.583995886910998,22.498990362146287,6.150033921585418,68.21195679913217,2532.4640259321313,6.487984588420659,15.711005070079409,0.049945327555178665,0.04797185829374939,121.08197105681029,16.36800389696873,8.480986440190463,6.0969642421696335,28.63896443432168,86.37896585260023,3217.121095850598,0.04195634355710354,7.13603147341928,-2.1487539925146848e-05,0.03897236292687012,22.593966542444832,0.020010414300486445,3081.5399533123127,19.687046320359514,-2.1487539925146848e-05,4.536960567747883,0.036998893665440846,14.312041242737905,2708.37094425151,4.931975405997946,16.68299812317855,0.07701514387008501,3217.121095850598,-2.1487539925146848e-05,-2.1487539925146848e-05,2728.466900624335,3097.3687936071656,0.17998030816670507,0.002011423566727899,0.10396607649454381,0.03003230940521462,18.604990746644035,3217.121095850598,-2.1487539925146848e-05,-2.1487539925146848e-05,95.0650124812455,3.981024766108021,12.664931488325237,7510.5981580214575,3217.116816037742,4.150957113233744,0.010000407564803027,4.221015272014483,7508.251108651166,7999.073552177288,3088.1807011537603,4.926007444737479,4.3330393735232065,454.9139956550789,37.59600643534213,0.16198893,0.2763146,0.044759903
