,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,78.325,13.358,6.635,12.018,585.554,560.468,0.13942933,0.25875705,0.036078323
Pareto solution 1,12.790998531039804,-84.65950814230018,-94.74400916232844,-86.6695100129873,773.6345417199191,736.0054884970887,0.13942935,0.25875705,0.036078326
Pareto solution 2,45.557999029462735,-35.6507552484818,-44.05450738167747,-37.325756807387734,679.5942830954373,648.236742592595,0.13942935,0.25875705,0.036078326
