,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,91.197,11.896,4.404,42.234,4.381,2.494,4.43,11.706,5.487,13.802,166.895,2.601,157.736,17.311,143.803,2.742,15.709,6.028,2.739,3.11,97.173,3.829,87.145,83.563,3.576,3.24,3.54,11.934,107.11,107.213,27.288,68.91,53.731,3.389,4.967,4.168,23.471,14.631,3.254,1802.073,0.13120925,0.26980644,0.035401102
Pareto solution 1,85.90987399181017,46.25937596782069,42.51337387630474,61.42837571864061,42.50187195084936,41.5583765070005,42.52637605290647,46.16437464766,43.05487285812387,47.21237508594527,123.75887877398691,41.61187296246089,119.17937048447129,48.96687504428064,112.21287093909268,41.682372264246624,48.1658742877853,43.32537647454001,41.68087201310027,41.86637389998259,88.89787314978992,42.225875748291855,83.88387311469072,82.09287642169707,42.09937123773989,41.93137228089836,42.081376558712236,46.27837289796139,93.86637468289246,93.91787288717319,53.95537471679586,74.76637624659509,67.17687449218954,42.005876419771994,42.79487516709651,42.39537495627974,52.046873978287294,47.62687364086128,41.938373452914675,941.347837182002,0.13120925,0.26980639,0.035401095
Pareto solution 2,88.55343632340862,29.077688245583317,23.458687191991544,51.831188392733736,23.441434303808478,22.026190096194114,23.47819045689414,28.935187828103892,24.270933581038094,30.5071884855318,145.32694349667372,22.106435821225773,138.4576810624003,33.13893790211432,128.00793174433238,22.212183732063295,31.93743676737131,24.676691089344445,22.209933355343765,22.488185143826172,93.0354353208385,23.027439999972216,85.51443494261437,82.8279399031239,22.837683234144265,22.585683757040897,22.81068913192064,29.106184161714907,100.48818736003204,100.5654341455326,40.62168688996661,71.83818944512572,60.45393733443794,22.69743996535135,23.88093808633812,23.281687770112967,37.7589363031243,31.128935276064738,22.596185515065372,1371.7103644392391,0.13120925,0.26980639,0.035401095
