,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,212.977,2574.617,3646.48,39.325,410.038,9.454,26.052,36.577,37.277,41.897,0.19730513,0.25845358,0.050994217
Pareto solution 1,212.97697641416744,2574.616909367207,3646.4800266850507,39.32498243334703,410.0379938173792,9.453993979288498,26.0519838524051,36.57703570602462,37.27699133264832,41.89696666467353,0.19730502,0.25845358,0.050994188
Pareto solution 2,458.22320349284564,1639.0431470073527,2174.9746872966643,371.3972019100329,556.7537053058477,356.4617168678087,364.7607026195619,370.0232285463717,370.37320635968354,372.68318484089104,0.19730502,0.25845358,0.050994188
