,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,12.929,84.693,4.341,1.753,2.117,9.546,1.604,2064.588,436.128,3.995,43.87,2.103,8.121,4.854,4.501,8.323,1.071,5.664,2.897,344.88,2.798,66.61,468.956,2212.408,23.844,72.907,0.713,2652.52,26.388,4.115,4.448,2663.694,97.398,16.789,26.809,29.501,42.631,3.221,6.188,7.425,1.685,7.547,68.815,3.328,3.093,7.211,0.522,4.516,6.309,3.857,3.024,1.17,2811.316,17.663,0.762,4.835,1.466,1.468,324.102,2807.838,4.801,4.748,326.183,3.94,328.605,12.493,13.995,332.508,3.072,19.719,334.393,27.504,0.20302665,0.3447325,0.06998988
Pareto solution 1,-112.34138477504166,-4.695425792808237,-125.22337889327537,-129.10541591811125,-128.5594172154597,-117.41592663636402,-129.32889077442815,2965.1469044177793,522.4570709333075,-125.7424172692372,-65.92991159925077,-128.58041876824427,-119.55341800866154,-124.45390533430691,-124.98340281691344,-119.25039560419827,-130.1283665516603,-123.23889883412266,-127.38941404267098,385.5850969105886,-127.53792502307624,-31.819931288038788,571.6990658884133,3186.876965063653,-95.96892425006081,-22.374399583677587,-130.66540625858033,3847.0454423798947,-92.15289210540504,-125.56240395965506,-125.06290869531222,3863.806348291895,14.362108257530053,-106.55141501737307,-91.52138708070197,-87.48342186039008,-67.78842401144357,-126.90337810679921,-122.45292405510918,-120.59741186474275,-129.2073817904602,-120.41439833333425,-28.51239507320497,-126.74290790883606,-127.09543397343441,-120.91843560016423,-130.95192744299857,-124.96094282296326,-122.27141063461386,-125.94939090550906,-127.19894162644414,-129.97989724100262,4085.239053618978,-105.24040141874502,-130.5919008238343,-124.482449111405,-129.5359060804476,-129.53290585862123,354.41807377512214,4080.022001220903,-124.53345288245328,-124.61295876085205,357.539606654158,-125.82488169971475,361.17260443253144,-112.99543313319009,-110.74243322057737,367.02707895946696,-127.12693630261128,-102.15638172997569,369.85460051695554,-90.47893500528153,0.20302665,0.3447325,0.06998988
Pareto solution 2,-49.70618602956847,39.998782393318606,-60.44118025997682,-63.67621111400672,-63.22121132701068,-53.934967441524805,-63.86244102905721,2514.867383089064,479.29252923102183,-60.87371223994501,-11.029956646836581,-63.23871262099783,-55.71621111989248,-59.79995055793029,-60.24119932822214,-55.46369505386565,-64.52866997529759,-58.787446009229825,-62.2462069467806,365.23255044469624,-62.36996609711832,17.395027813959814,520.3275254610032,2699.64244057225,-36.06246632105854,25.266302498021332,-64.9762004600384,3249.7828244458688,-32.882442138204624,-60.72370114862656,-60.307454226887785,3263.7502529841604,55.8800594664209,-44.88120949527183,-32.35618708283232,-28.991214329666263,-12.578716990330577,-61.84117960458002,-58.13246789483833,-56.58620773619964,-63.76118354241726,-56.433696460025885,20.151307124868254,-61.70745357149099,-62.00122529198961,-56.85372491135831,-65.21496811372026,-60.22248179847725,-57.98120671109223,-61.046191138291306,-62.08748166949772,-64.40494468162979,3448.277521313312,-43.78869903120153,-64.91494853544259,-59.823736170725624,-64.0349511797142,-64.03245359921812,339.26003116514084,3443.9299707032915,-59.86623931326585,-59.9324942119315,341.8613087813673,-60.94243346679605,344.88880671298193,-50.25122372366627,-48.37372292836926,349.76753591948807,-62.02747723297034,-41.2186834920135,352.1238032329721,-31.487474415622728,0.20302664,0.34473252,0.06998988
