,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,120.955,3.332,4031.677,6.332,6.12,5.538,60.252,19.475,242.836,6.953,6.875,2.634,3.181,20.832,3989.788,6.888,83.346,2.058,5.431,3.56,26.421,3902.01,3.479,9.91,1.566,63.569,2.117,3.726,361.394,3.728,296.827,12.563,4.955,3797.576,7.921,3.431,2.35,289.709,2.211,2.248,3.271,278.381,2.748,20.077,193.358,12.56,5.347,298.949,5.441,3743.466,2.666,8.724,80.658,250.631,3705.531,110.665,4.513,144.227,5.571,242.298,65.078,220.526,2.154,3625.897,2.255,3.063,189.524,211.107,3.791,5.697,2.271,2.888,0.903,2.37,32.61,2.223,3537.76,4.547,20.145,2.43,4.292,4.627,0.617,3.865,2968.437,2977.73,435.149,2534.47,0.095,274.772,280.798,3425.359,3436.492,0.273,2531.527,5.555,0.584,0.129,2529.078,5.006,0.16960295,0.36440212,0.061803672
Pareto solution 1,-98.0722197371797,-274.5068455362634,5768.010513308225,-270.00683062050666,-270.3247969524382,-271.19776560356695,-189.12669873741106,-250.29234253607865,84.74921304867894,-269.07523243079777,-269.19220375562145,-275.55383241294476,-274.7332346870753,-248.25671056895953,5705.176913090516,-269.17278047290165,-154.48570563515386,-276.4178088035551,-271.35818753121566,-274.1647799461425,-239.8732620566734,5573.510076437204,-274.2862833702675,-264.6398179146054,-277.15574967073917,-184.15131696160825,-276.32925302196963,-273.91580223690835,262.58623582917426,-273.91278083737416,165.73574135822855,-260.6602750376551,-272.0722449544628,5416.859430911834,-267.62323414036655,-274.3582214544149,-275.9798497472657,155.05876284715487,-276.1882543770407,-276.1327901141631,-274.5982788412148,138.0667715572854,-275.38276364884223,-249.38923182769213,10.53220233356842,-260.66480713695637,-271.48429499272606,168.9187497984567,-271.34329634779715,5335.694280339347,-275.50570583465014,-266.41877479748655,-158.51776331353176,96.44174149366154,5278.791831283423,-113.50725507184688,-272.73529827604943,-63.164264404651476,-271.14827220167354,83.94224758975542,-181.88778514391015,51.284263746063516,-276.273788759092,5159.340656823013,-276.12228715387755,-274.9102743121621,4.781184134488285,37.155695957597345,-273.81825419480447,-270.95921891653416,-276.0982598337723,-275.17277638121595,-278.1502217459929,-275.9497796280921,-230.5897961736191,-276.1701979179197,5027.135435547942,-272.6842941743889,-249.2872236243711,-275.85978508482367,-273.0667889678007,-272.5642295119469,-278.579260479848,-273.70732566904917,4173.15066932101,4187.089968010085,373.218718383685,3522.200211011339,-279.3623065257925,132.6532508799828,141.69223518406216,4858.533572226996,4875.233279080974,-279.09527235743735,3517.7858024157176,-271.17229952177877,-278.62875388174143,-279.31123048604786,3514.112068334478,-271.9957747710141,0.16960287,0.36440206,0.061803635
