,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,30.704,2.03,818.701,1.353,7.53,1847.065,2.546,188.575,44.313,150.473,759.322,6.469,819.691,1.523,120.956,16.292,1.553,4.892,4.846,14.373,1.833,1.298,4.127,17.508,4.91,4.817,25.051,10.933,1.199,1.467,2.376,440.842,2628.892,6.432,0.15766685,0.36413673,0.05741229
Pareto solution 1,81.81396040694221,60.30846344058068,672.8117351645496,59.80071587321822,64.43347284417337,1444.0847316335094,60.69547616972159,200.21722021583946,92.02072608928029,171.64072691855188,628.2774651965656,63.63771207335958,673.5542482738083,59.92821526236389,149.50297568967744,71.004962193256,59.95071515456607,62.45496773993182,62.42046790522181,69.56571908872343,60.16071414845305,59.75948065411103,61.88122048877631,71.91697240711437,62.46848225851659,62.398718009426375,77.57421613638189,66.98572519957042,59.68523100984385,59.886215463586495,60.56797678057592,389.4174804169993,2030.4550556447393,63.60997678957369,0.15766682,0.3641364,0.057412226
Pareto solution 2,132.92393845379684,118.58694047622248,526.9224591255152,118.24844209798084,121.3369439675198,1041.1044289938436,118.84494757343418,211.85944360417943,139.72844751980665,192.80844737821326,497.2329347024679,120.80643817585951,527.417456753963,118.33344169074462,178.04994725340475,125.7179396446727,118.3484416188794,120.01794195357434,119.99494206376767,124.75844424165098,118.4884409481374,118.22095056302715,119.63544378613733,126.32594506502937,120.02695024374862,119.98044213323737,130.09744366230552,123.03844414890227,118.17145080018236,118.30544182489302,118.7599479806704,337.9929476271882,1432.018022778895,120.78794659778669,0.15766683,0.36413637,0.05741223
