,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,86.578,22.417,329.31,25.257,30.827,34.229,29.553,138.189,183.033,1018.929,29.576,955.957,23.174,13.15,387.983,220.169,24.219,683.847,37.081,374.667,24.907,428.795,555.071,32.043,130.255,620.331,3282.358,318.955,12613.904,5.335,14.149,14.878,7.738,3266.19,36.328,9.19,265.402,76.004,272.64,7.262,253.398,5.776,5.941,5.59,585.961,85.216,3260.749,38.829,8.067,104.522,2.247,425.221,7.626,35.627,325.785,3.388,5.411,18.009,8.46,3256.388,5.675,43.435,80.139,6.199,9.19,5.6,13.687,2.305,536.376,71.939,4.615,6.354,5.835,123.551,6.146,9.104,9.358,4.595,0.1685758,0.608165,0.102521904
Pareto solution 1,86.57800644899271,22.41699047770271,329.3100073352425,25.257000875775702,30.826995168195936,34.22901931813976,29.553015096817035,138.18899560630962,183.03301731557622,1018.929024624731,29.575986256875694,955.9569872868014,23.17400307916978,13.150012565223733,387.98299905030945,220.1690220470946,24.218993035232415,683.8469731386112,37.08098077061004,374.6669948894639,24.90702233536831,428.795015599699,555.070981500252,32.04300040704584,130.25501409663684,620.330991181932,3282.357894085835,318.9549889060945,12613.90403696848,5.334977211852674,14.148978743154657,14.877981424529935,7.737976999569582,3266.1899211994823,36.3279712487074,9.190001016691895,265.40199413822575,76.00400560343951,272.64001000978897,7.2620061846155295,253.39799785001378,5.776025812350781,5.941024838932208,5.590022254915311,585.9610009700555,85.21599935620361,3260.7489913124373,38.82902321203437,8.06697428284133,104.52200842314323,2.247020254828385,425.2210103076544,7.626007140357615,35.62702503486071,325.78500194806975,3.3879910255636787,5.410977539280793,18.00900639744941,8.459985928566311,3256.387915411615,5.674994600785794,43.434985177838826,80.13900642217504,6.198990733653773,9.190001016691895,5.60001831696718,13.687041980394497,2.3049601767797867,536.375978817018,71.93899467435585,4.614981459497358,6.353993698183331,5.834989777911687,123.55097878313427,6.145984840002711,9.104016264071106,9.357979079228244,4.595024245971217,0.1685758,0.608165,0.102521904
Pareto solution 2,180.37002972885193,132.24926920499183,362.4190274843245,134.37927409433178,138.55677272286175,141.10828792610482,137.60128185089798,219.0782701422322,252.71128933339696,879.6332889968335,137.61851603937157,832.4042639026011,132.81702574687733,125.2990328614178,406.4237727252321,280.56328851821354,133.6007682139243,628.3217547460658,143.24725901545753,396.4367692409461,134.11678727981143,437.03278495544834,531.739759562689,139.46877665199918,213.12778255537023,580.6847660966453,2577.204932365017,354.6527651170709,9575.86455116386,119.4377563463895,126.0482545856512,126.59501241511225,121.24000909639199,2565.0789527002526,142.68250478324535,122.32902129080412,314.4880204957767,172.43952473086483,319.9165309448417,120.88302516674685,305.48502182501034,119.76853988754829,119.89229206669916,119.62903721947168,554.9072741650416,179.3485258638675,2560.998278558687,144.55829084652578,121.4867570588458,193.82802830025003,117.12178862862129,434.3522809864149,121.15602588355341,142.15679221364553,359.7752741712486,117.97751670667276,119.4947595011754,128.94327823558706,121.78151288392473,2557.727459996211,119.69277229730415,148.01276232087912,175.54077970873868,120.08576648774033,122.32902129080412,119.63653717522538,125.70180201358107,117.16524647929964,517.7185071866116,169.3907723524817,118.89775953212302,120.2020187111375,119.81276577093377,208.0997604340655,120.04600915828723,122.26453563555333,122.45500774692118,118.88278871276361,0.16857578,0.60816526,0.10252193
