,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,16.161,45.749,29.482,11.28,0.14675084,0.24380465,0.035778537
Pareto solution 1,20.914499456814212,35.708499757047434,27.57499974672237,18.473999305236134,0.14675078,0.2438046,0.035778515
