,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,34.534,30.779,22.092,1.688,1.218,4.521,1.531,0.96,0.379,0.608,0.16154787,0.27031004,0.043668013
Pareto solution 1,22.182499516813152,20.30499928296166,15.96149903756654,5.7594994347505235,5.52449982438759,7.175999658902654,5.680999891342822,5.395499703593174,5.104999631297318,5.21949950575106,0.16154782,0.27031004,0.043668
