,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,4.858,2.528,0.62,39.246,0.0,0.144,4.748,0.185,1.138,1.08,8.684,0.983,0.039,1.789,1.298,2.642,1.34,4.309,0.0,10.137,12.405,15.53,4.433,0.049,0.391,60.361,0.87,65.651,1.704,14.36,0.319,28.223,0.147,0.377,0.19,65.559,0.704,18.894,0.038,0.88,0.082,1.728,29.055,0.02,93.808,1.063,0.06,0.095,0.064,0.24,0.024,0.532,1.714,0.42,0.0,102.031,0.033,49.644,0.43,0.121,31.807,0.024,0.232,0.131,0.057,0.283,0.054,0.002,105.688,0.563,2.662,0.045,0.058,0.018,0.903,0.091,0.687,0.021,0.062,0.597,0.109,0.328,32.851,0.093,0.058,0.043,85.541,0.087,0.183,0.063,0.051,1.076,86.452,0.82,0.109,0.257,0.335,2.178,1.45,0.181,0.038,0.0,111.258,2.425,113.885,0.035,0.316,0.783,0.058,0.53,3.736,119.987,0.431,5.068,0.086,0.037,3.589,5.6,0.043,0.042,0.056,1.123,0.15425825,0.2990377,0.046129033
Pareto solution 1,1.6173558186860646,-1.8776440010697115,-4.7396454929739775,53.19935150087076,-5.669644036935097,-5.453644322719356,1.4523557888567211,-5.3921435807255875,-3.962643565920189,-4.049643744065179,7.35635555687054,-4.195144826078376,-5.611144757234797,-2.9861450947610138,-3.722643522532053,-1.7066434829052923,-3.6596452977273657,0.7938555886021277,-5.669644036935097,9.535855707263863,12.93785526658155,17.625355301922127,0.9798561094783054,-5.596143942439085,-5.0831456362816425,84.87186006904267,-4.364644613096061,92.80686231564687,-3.11364389968503,15.870354984646383,-5.191144681305559,36.66485443991223,-5.449143753447061,-5.104144503160569,-5.384644797495639,92.66885352019199,-4.61364417086088,22.67135507724015,-5.612643864213624,-4.349643798300349,-5.546644177115468,-3.0776442180103913,37.91285693936561,-5.63964403151158,135.04236126184696,-4.075144804384308,-5.579644020664546,-5.52714279304746,-5.573644344413424,-5.309643971852893,-5.633644355260458,-4.871644867170289,-3.0986447090572256,-5.0396455472091475,-5.669644036935097,147.37685106684148,-5.62014427161148,68.79635285880613,-5.024643108245527,-5.48814327324726,42.04085346280499,-5.633644355260458,-5.321643324355136,-5.4731457067873635,-5.584144589936841,-5.2451433917335635,-5.5886435350412285,-5.666644198809536,152.86236773175187,-4.825144939972233,-1.676645101649683,-5.602145242858114,-5.582645482958014,-5.642645493805048,-4.315144847772444,-5.533145717634397,-4.639145231180009,-5.638144924532753,-5.576644182538985,-4.774144443501882,-5.506143926168534,-5.177644597656581,43.60685666941481,-5.530144255340929,-5.582645482958014,-5.605143456815767,122.64186527308266,-5.539145393885519,-5.395145043019056,-5.575145075560158,-5.593145728481431,-4.055643420316301,124.00836219057965,-4.439645438738808,-5.506143926168534,-5.284144535701671,-5.167144352133164,-2.402644908065213,-3.4946444558140684,-5.398144881144617,-5.612643864213624,-5.669644036935097,161.21737330262113,-2.0321445974595918,165.15786451361782,-5.617144433485919,-5.195643626409947,-4.495144880313546,-5.582645482958014,-4.87464470529585,-0.06564432315644808,174.31085626090862,-5.0231456254346085,1.932355875632993,-5.540644500864346,-5.614144595360358,-0.28614460664448416,2.7303558574817544,-5.605143456815767,-5.606644187962502,-5.585645321083575,-3.9851431639458497,0.15425824,0.2990377,0.04612903
Pareto solution 2,4.858000082469829,2.5280001687958134,0.6199993772139578,39.245997508457776,7.721189376752591e-08,0.14400002203637996,4.7480000625836,0.18500051669889217,1.138000526569158,1.0800002724585056,8.683999941762977,0.9829996864636996,0.038999597012093545,1.7889995073419414,1.298000555494582,2.6420005142387595,1.3399995073783657,4.308999962917369,7.721189376752591e-08,10.137000042025193,12.404999756696192,15.529999737960537,4.433000310168154,0.04900020788289794,0.39099921400185167,60.36100294987773,0.8699998284519097,65.65100390622456,1.7040003040592637,14.359999577198622,0.31899985065257397,28.22299933247143,0.14700046922490628,0.37699990174223785,0.1899997055188578,65.55899885467193,0.7040001232753639,18.89399955433572,0.03800032770686812,0.8800002363017256,0.08200005143197586,1.7280000241686935,29.055000863426358,0.02000028384856023,93.80800266230199,1.0629997009264116,0.060000291079916224,0.09500090647031811,0.06400000757366797,0.24000012060002973,0.024000000342311978,0.5319997267427539,1.7139996968041373,0.41999934105717784,7.721189376752591e-08,102.03099748979957,0.033000123781960156,49.64399841374802,0.4300007640119361,0.12100058633711797,31.806998681066602,0.024000000342311978,0.23200068761252624,0.1309991669980377,0.0569998438913899,0.28300057501991205,0.054000411807805904,0.002000036969263874,105.68800805835053,0.5629996105344617,2.661999502749495,0.044999476284203865,0.05799931621760379,0.017999308986247797,0.9029996720009876,0.09099915976668171,0.6869995517432699,0.02099975617477412,0.06200025083728633,0.5969999415146958,0.10900021872993193,0.32799997409222215,32.85100081880648,0.09300013462899415,0.05799931621760379,0.043000531631776084,85.54100587784842,0.08699944327292997,0.18299954183657974,0.06299952014251176,0.05099915253532572,1.0760005559647539,86.45200490562502,0.8199994133707378,0.10900021872993193,0.25699988004816987,0.33499993475351175,2.1779996994794715,1.4499999333065716,0.18099958207920963,0.03800032770686812,7.721189376752591e-08,111.25801068948476,2.4249999065498855,113.88500483014923,0.0349998805183418,0.31600041856898997,0.7829996503069196,0.05799931621760379,0.5299997669853838,3.736000021744985,119.9870004111217,0.43099922123320766,5.068000120434448,0.08599997094671608,0.036999840275711904,3.588999832752961,5.600000074496791,0.043000531631776084,0.04200004420061987,0.055999356460233685,1.123000726878388,0.15425822,0.29903772,0.04612903
