,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,1.298,4.045,0.838,0.198,0.0,7.88,9.58,75.769,1.744,0.0,1.724,0.002,0.121,0.292,0.356,0.432,0.0,0.071,0.605,0.002,0.237,0.011,0.096,0.0,3.561,1.852,15.367,63.055,0.01,13.411,13.11,0.243,22.835,16.234,0.991,14.755,0.19507167,0.37402633,0.07296194
Pareto solution 1,-1.8130687760526598,2.3074312017946568,-2.5030691671613567,-3.463069417118959,-3.7600693585163754,8.05993106083703,10.609930727943322,109.89342390180173,-1.1440695231885911,-3.7600693585163754,-1.174069077889044,-3.7570689197282263,-3.578569877647169,-3.322069093436312,-3.226068585122448,-3.1120683439883123,-3.7600693585163754,-3.653569247716405,-2.8525690542617212,-3.7570689197282263,-3.4045695604759203,-3.7435688784539707,-3.616069562681787,-3.7600693585163754,1.5814308617273127,-0.982069994533731,19.290430443134937,90.82243390399526,-3.745069097848045,16.356430494801316,15.904930188446997,-3.395568244111473,30.492429463075496,20.590929263828457,-2.273568465499011,18.372430536394177,0.19507165,0.37402627,0.07296192
Pareto solution 2,-0.25753428956507207,3.1762157020434856,-0.8325346356272405,-1.6325347835104793,-1.880034734674993,7.969965594647924,10.0949653172365,92.8312093065731,0.29996510795990616,-1.880034734674993,0.27496547904286217,-1.8775344092947108,-1.7287851672839878,-1.5150345339131945,-1.4350341505948165,-1.3400339295114492,-1.880034734674993,-1.7912846624799386,-1.123784481129448,-1.8775344092947108,-1.5837849029746138,-1.8662843346229891,-1.7600348846745817,-1.880034734674993,2.5712154387922865,0.4349647353105439,17.328715059757926,76.93871780284042,-1.8675344973131303,14.883715163228004,14.507464887794484,-1.5762838664190042,26.663714303456487,18.412464137417288,-0.6412840307703647,16.563715177750467,0.19507164,0.37402645,0.07296195
