,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,Node_108,Node_109,Node_110,Node_111,Node_112,Node_113,Node_114,Node_115,Node_116,Node_117,Node_118,Node_119,Node_120,Node_121,Node_122,Node_123,Node_124,Node_125,Node_126,Node_127,Node_128,Node_129,Node_130,Node_131,Node_132,Node_133,Node_134,Node_135,Node_136,Node_137,Node_138,Node_139,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.536,1.059,73.917,0.71,0.85,380.961,2.86,74.392,1.752,9.682,386.179,1.085,7.593,9.276,331.302,13.727,9.74,10.74,1.154,1.559,0.992,1.565,16.062,18.5,0.676,0.84,327.789,22.85,1.209,1.769,403.048,1.133,328.399,404.745,1.016,0.993,1.279,1.757,1.031,1.06,2.726,444.19,0.736,1.571,1.377,1.967,86.902,34.113,38.642,3.844,443.104,16.724,349.311,358.453,447.968,1.101,7.452,1.326,5.844,0.945,0.852,7.74,1.351,448.612,13.154,0.961,11.799,451.624,8.21,1.068,0.842,1.037,5.237,362.019,0.871,1.046,9.968,97.729,0.974,0.67,0.985,0.609,0.94,8.239,74.536,454.353,0.575,1.126,0.465,19.327,3.37,57.33,455.375,1.064,5.985,0.716,27.756,43.502,16.983,21.283,0.878,23.588,0.412,0.961,2.164,18.169,1.092,33.021,1.619,1.105,781.565,25.085,26.379,34.032,1.259,30.122,0.341,1.226,0.821,0.739,2.12,0.782,768.599,1.618,1.355,0.99,15.166,1.28,1.106,0.648,34.757,1.227,4.719,38.594,771.025,31.283,3.364,4.266,772.337,0.764,0.18214206,0.30404505,0.055379394
Pareto solution 1,-39.0707946630755,-38.286308790957264,71.00069844742904,-38.80980068133795,-38.599804443210814,531.5666767745279,-35.58480697926825,71.71319556837204,-37.246802868976374,-25.351806327471422,539.3936972515803,-38.24730068684403,-28.485300698848732,-25.960802728795898,457.0781797595555,-19.28430722237863,-25.264808333558904,-23.764808348241786,-38.143811716654454,-37.536308798298705,-38.386810795209385,-37.527295680802126,-15.78179723048379,-12.124800524788952,-38.86079842494837,-38.61481238045599,451.8087123126679,-5.599804766234229,-38.06130461558496,-37.22129877520274,564.6971838863101,-38.17528974230299,452.7236429559707,567.242663725483,-38.350800100970446,-38.385306868303815,-37.95630127455297,-37.239293678385366,-38.32830386100795,-38.284804864051694,-35.78580054383565,626.4101560444396,-38.770803021161555,-37.518303451179236,-37.80930286347029,-36.924294099226245,90.47819875285882,11.29469389867154,18.08819805152325,-34.10879671688235,624.7811525512225,-14.7887981592703,484.09171483741375,497.80468746539555,632.0771615033664,-38.223300519975965,-28.69679041994459,-37.88580470085435,-31.108796746248117,-38.457307368908005,-38.59680703333652,-28.26480830419314,-37.84831096758353,633.0431838857112,-20.1438014489122,-38.43330720203994,-22.17630644210658,637.561189188782,-27.559800791459566,-38.27279433668082,-38.611794082708,-38.319290743511374,-32.019299160328956,503.15373771103623,-38.56829508575174,-38.30580762104546,-24.922800733720578,106.71869156511775,-38.4137979280149,-38.869801098508105,-38.397306951737846,-38.96130042920049,-38.464795671625325,-27.51631223844015,71.92920294489909,641.6546693470082,-39.01230861674776,-38.1857963427683,-39.177312374949906,-10.884301038240665,-34.81979904936452,46.12019974058967,643.1876721727531,-38.278799600366256,-30.897296581215414,-38.80079800777821,1.7591967909856976,25.378196518013283,-14.400304596538263,-7.950296304525182,-38.55779892922328,-4.49281012436586,-39.25680117827142,-38.43330720203994,-36.62879335015532,-12.62130528236412,-38.23680453031557,9.65669817583148,-37.446302950575046,-38.21729525629053,1132.4727033104864,-2.247301039233207,-0.306305820668058,11.173199581362496,-37.98629626116963,5.308197967742672,-39.36329800227213,-38.035800521811325,-38.643303440167074,-38.76631212831853,-36.694799031010916,-38.70179993043166,1113.0236699131638,-37.447806877480616,-37.84229525996125,-38.38980820508368,-17.12580657509534,-37.954807791584244,-38.2158017733218,-38.90279349499906,12.260695393142669,-38.034296594905754,-32.796296729729875,18.016202772887482,1116.6627552671707,7.0496983266775715,-34.828801722924254,-33.47581059262666,1118.6307271746045,-38.72879750717402,0.18214205,0.30404502,0.055379383
Pareto solution 2,40.142803089636345,40.404300991326636,76.83330166346593,40.229801083548864,40.29980157024738,230.35529792047782,41.3048007248949,77.07080070378026,40.750802094992196,44.71580094216051,232.9642977835374,40.417301081713504,43.671302818368076,44.51280214171902,205.52579891548703,46.73830064385811,44.744801143792756,45.24479939824232,40.45180001609424,40.65430011855142,40.370799452914525,40.65730275039414,47.90580223383358,49.124802876388,40.21280357633486,40.29479892449899,203.76930628521222,51.29979972191677,40.479301512789334,40.759300848599196,241.3988002910719,40.44130385956578,204.07429012893772,242.24729705210848,40.38280214733277,40.37130076188305,40.51430175613859,40.75330341786639,40.39030089398693,40.40479968931095,41.23780025905489,261.9697944917607,40.24280117393573,40.660300160268434,40.563302096827556,40.85830414791417,83.32580176527586,56.9313010175415,59.1958010963333,41.79680153470599,261.42679332735497,48.23680192423808,214.5303001641696,219.1012980027881,263.8587893487784,40.42530113733619,43.600803633685246,40.53780061403813,42.796803265573544,40.347300595014985,40.30080157720022,43.744799412925204,40.55029939545648,264.18079680956,46.45180256834692,40.35530065063767,45.77429916329265,265.6867916146257,43.97980104684166,40.4088023281065,40.29580415342025,40.39330352582965,42.49330246087993,220.88430778871043,40.310302948744265,40.3977996406411,44.85880193641606,88.73929958694418,40.36180200132321,40.209800944492144,40.367300734071705,40.17930203792275,40.344801883125,43.994299842165674,77.14280316262261,267.05129196332564,40.16229930874033,40.43780252973875,40.10729892633435,49.53830183490936,41.55980249786808,68.53980209451947,267.5622929052406,40.40680231420083,42.867302450256375,40.23280371539158,53.75280111131815,61.625801020327344,48.36630151913823,50.51630341281452,40.313801667587086,51.668799676529034,40.080802658560515,40.35530065063767,40.956803527276406,48.959300420201544,40.420802411540535,56.38530244326148,40.68430293812071,40.427303762226074,430.6573172097342,52.417300964250444,53.0643002407669,56.89080204144375,40.50430168661023,54.935801503570474,40.04530371722694,40.487800266396334,40.285300163939155,40.24429987887288,40.934803374314015,40.26580133385096,424.1742851894196,40.683799018167974,40.55230202034636,40.36979944596169,47.45780172994728,40.514800454122906,40.42780246021039,40.19880347899516,57.25330064537047,40.48830157536486,42.234303271079625,59.17180223495734,425.3873066781307,55.51630162321544,41.55679986602536,42.00780039077017,426.0433112391911,40.256801271275435,0.18214206,0.304045,0.055379383
