,Node_0,Node_1,Node_2,Node_3,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,8.835,80.474,7.798,1.394,0.13424155,0.24095543,0.03234623
Pareto solution 1,12.782562226839332,66.51181039130802,12.00481290532855,7.201812086016616,0.13424152,0.24095543,0.032346223
Pareto solution 2,16.730123975550214,52.54962323421296,16.21162442787636,13.009624042451833,0.13424152,0.24095543,0.032346223
