,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.036,0.006,0.018,0.186,0.063,2552.783,2544.333,0.0,0.003,0.0,0.087,2543.335,64.68,15.851,0.796,339.432,3.639,8.664,4.819,2.335,1.142,2.799,14.285,4.363,7.093,2.053,22.558,6.958,0.17184505,0.27460545,0.047189586
Pareto solution 1,-145.3445013112214,-145.38945738901384,-145.37151234340854,-145.11948726281116,-145.30403149483027,3683.7759658764116,3671.1007819972,-145.3985233755957,-145.39403711419436,-145.3985233755957,-145.26800120795087,3669.6038661096245,-48.378540846752,-121.62199219502509,-144.20452359638875,363.7494969841009,-139.94000501120172,-132.40252507429977,-138.16998796082044,-141.89601498217962,-143.6855192305229,-141.2000369504094,-123.97101735751494,-138.85400262885378,-134.75902733912517,-142.31898531492334,-111.56150427066314,-134.96151661674958,0.17184505,0.2746054,0.04718958
