,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,9.028,58.158,71.794,5.566,5.303,7757.04,0.16943483,0.25355995,0.042961888
Pareto solution 1,663.4213698911954,687.9863821923682,694.8043703735057,661.6904385513517,661.5589107707929,4537.427444236411,0.16943468,0.25355992,0.042961843
