,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,297.245,1.77,85.873,0.668,2.727,19.275,0.824,1.333,56.07,4.761,1.254,65.951,2.277,3.308,6.714,49.167,2.525,54.381,0.814,38.851,7.582,7.658,2.429,67.669,0.1590239,0.2596052,0.04128343
Pareto solution 1,164.89596475613325,17.158457869924405,59.209959323553335,16.60745831198892,17.636958061902533,25.910958231630616,16.685457680152922,16.93995861117321,44.308458318426005,18.65395788969232,16.900457434847567,49.248957482291644,17.411958551869645,17.927458841583757,19.630459027493657,40.85695801124251,17.535958435836903,43.46395905719231,16.68045734658176,35.69895938179869,20.06445862137906,20.102458968190092,17.48795924549171,50.107957163799256,0.15902388,0.2596052,0.041283425
