,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,47.933,21.488,3.614,7.92,28.37,10.513,412.256,401.488,4372.537,8.301,3.255,76.969,1173.965,20.439,0.125384,0.27400908,0.034356356
Pareto solution 1,259.2896381581486,246.06714122947233,237.13014449076763,239.28313429873742,249.50813765409657,240.57962788471195,441.45114031914704,436.0671394865583,2421.5917312827223,239.4736382464398,236.9506434123814,273.8076390854676,822.3056224319007,245.54262639829176,0.12538399,0.27400905,0.03435635
