,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,7.173,32.127,8.708,14.84,0.0,7.607,7.926,0.0,6.649,19.738,10.569,9.352,5.819,84.138,7.134,0.738,41.917,195.843,0.19473748,0.28182665,0.05488221
Pareto solution 1,16.372000724550617,28.84900005055161,17.139500576609123,20.205500471032877,12.785500852550513,16.589000668073083,16.74850082909859,12.785500852550513,16.11000071423706,22.654501001768523,18.07000097344701,17.46150044884206,15.695000476833798,54.854501512483466,16.352500922743218,13.15450140023745,33.744000539731644,110.70700082552821,0.19473746,0.2818266,0.054882195
