,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,0.158,0.055,0.072,0.009,0.041,0.004,0.003,0.0,0.0,0.0,0.005,0.056,0.003,0.006,0.001,0.006,0.29,0.208,0.016,0.0,0.17999785,0.2654463,0.047779765
Pareto solution 1,0.21367502011797512,0.059174999903572,0.08467499606738382,-0.009825003150869094,0.038175001760440974,-0.017324995579398816,-0.01882500152274247,-0.02332499604765559,-0.02332499604765559,-0.02332499604765559,-0.015825003619125866,0.06067500235114798,-0.01882500152274247,-0.014324997675782214,-0.02182499942635907,-0.014324997675782214,0.41167500294328363,0.28867502830169656,0.0006750011643479326,-0.02332499604765559,0.17999774,0.2654464,0.04777975
