,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,9.058,10.378,6.789,12.329,107.415,110.877,7.905,105.225,10.064,23.346,7.988,37.674,3313.048,9.766,343.042,6.44,6.435,29.572,816.431,11.745,17.074,679.843,29.837,8.379,20.622,7.656,5.037,11.604,11.835,14.746,12.073,708.138,8.838,3.339,8.745,13.419,2.882,32.789,27.594,14.013,9.659,6.801,2.567,5.513,0.16245472,0.28362185,0.04607571
Pareto solution 1,44.56923898481273,45.55925012415537,42.867493553752865,47.02249042890253,118.33699287013951,120.93349031241723,43.704492972946355,116.69449089279988,45.32374020447969,55.285245629253495,43.76674896890472,66.03123804817778,2522.561854589061,45.10024963491014,295.0572297418321,42.60574909105708,42.601994970326814,59.95474003134996,650.0989910339958,46.5844872049629,50.5812447131384,547.6579930323387,60.15349173504001,44.05998836646995,53.24223637009618,43.51774039449447,41.55349158664558,46.47874389051958,46.65199396188109,48.83523956625504,46.83049479420242,568.8792497137583,44.40423680722597,40.279995214631526,44.33449183158609,47.839991149197886,39.93724534028297,62.36749262196918,58.47124500287828,48.28549298370854,45.0199838755716,42.87648495219764,39.70099576829307,41.91048554657664,0.16245472,0.2836218,0.046075698
Pareto solution 2,80.08048014195447,80.7404888523015,78.94598447203316,81.7159823887996,129.25898401629092,130.98998231114274,79.50398280071022,128.1639826980645,80.58348223918438,87.22448521364095,79.5454880821344,94.38848015959047,1732.0755174037768,80.43448852613801,247.07247654820458,78.7714881635693,78.76898413229719,90.33748148170525,483.76698792866955,81.42398152362512,84.08848652907545,415.4729789879493,90.46998325955792,79.74097972972595,85.8624809670473,79.3794823658609,78.0699818765097,81.3534834124257,81.46898474411864,82.92448181370128,81.58798401488093,429.6204937151779,79.97047997434856,77.220984295167,79.92398203980338,82.2609828689965,76.99248566305323,91.94598256672543,89.34848543811677,82.55798409200361,80.38097930403092,78.95197873766301,76.8349859483933,78.30798041803428,0.16245472,0.2836218,0.046075698
