,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50,Node_51,Node_52,Node_53,Node_54,Node_55,Node_56,Node_57,Node_58,Node_59,Node_60,Node_61,Node_62,Node_63,Node_64,Node_65,Node_66,Node_67,Node_68,Node_69,Node_70,Node_71,Node_72,Node_73,Node_74,Node_75,Node_76,Node_77,Node_78,Node_79,Node_80,Node_81,Node_82,Node_83,Node_84,Node_85,Node_86,Node_87,Node_88,Node_89,Node_90,Node_91,Node_92,Node_93,Node_94,Node_95,Node_96,Node_97,Node_98,Node_99,Node_100,Node_101,Node_102,Node_103,Node_104,Node_105,Node_106,Node_107,ParetoBestFRI,ParetoBestDRI,HV
Historical flow,72.727,33.473,163.966,389.777,17.796,7093.92,589.023,33.158,30.38,88.153,115.003,120.642,48219.012,32.07,14552.704,13.449,441.472,4128.613,1609.698,35.792,10.785,7156.071,31.119,11.794,32.898,27.176,1443.994,29.215,29.635,21.856,292.346,14404.157,18.458,261.03,31.183,24.912,707.092,506.037,55714.059,4606.854,15.321,16.331,21.017,738.402,31.587,14575.408,17.689,27.278,290.17,2918.703,464.369,796.948,2794.11,29.151,480.537,18.119,28.638,281.676,144.816,13.091,2384.557,2108.253,572.726,2404.153,28.147,100.539,29.986,170.346,4743.964,15.1,12.879,4808.792,462.792,2647.973,69.251,42.004,13.665,34.968,3506.53,28.544,218.939,14635.724,976.63,14.43,4914.994,3130.285,28.548,14747.177,3570.639,30.47,19.872,1066.735,55888.551,41.451,33.292,65.784,226.048,212.595,25.727,31.068,59127.09,27.249,20.599,14453.205,33.622,12.476,238.809,19.218,0.19377214,0.32744196,0.06344913
Pareto solution 1,72.72694705356844,33.47298301028786,163.96602772793267,389.7770722466521,17.795768093841616,7093.919916665407,589.023180172655,33.15795679564326,30.37991902570502,88.15323577587696,115.00289387057273,120.6420297092991,48219.012664869544,32.07016040803137,14552.704845331114,13.449025119072758,441.47175549274107,4128.612796422995,1609.6980008283317,35.79200751456665,10.785145677735272,7156.070757093265,31.1190525542479,11.79384835192468,32.89798678673105,27.175949312571902,1443.9939342642901,29.215091549092904,29.634835619021032,21.856044269043196,292.3459137249811,14404.157173055253,18.45810852850991,261.0299597707344,31.183152574754786,24.91213967744261,707.092086014578,506.03673914342653,55714.059244863805,4606.854055192407,15.320856782265764,16.33098742720904,21.017032119438227,738.4020900906835,31.586792307847645,14575.408628337085,17.688908282427292,27.278128553181887,290.169844959506,2918.7029047228843,464.36879054073506,796.9480183504056,2794.110135995579,29.15099152858602,480.53698940138565,18.11880681104958,28.637953369405295,281.6758782569668,144.8159879380837,13.091080450103618,2384.556819018271,2108.2529269721126,572.7261466173222,2404.153020336995,28.14696942520095,100.5391367680786,29.986195756180678,170.34596306108142,4743.963899891998,15.099997305667785,12.878709466320288,4808.792066485792,462.7920728333411,2647.972878352244,69.2509489118238,42.00399762071902,13.665204024866398,34.967989057877276,3506.5300330536484,28.544024626484315,218.9390938297729,14635.723574365722,976.6300939655011,14.429803031853226,4914.994178370398,3130.2849148317764,28.54807054362027,14747.176374378148,3570.638915625124,30.47003984661569,19.87211690167169,1066.7350882003157,55888.54965514224,41.450817617012945,33.29210671479814,65.78383592143655,226.04824622789602,212.59509576059645,25.72703498764895,31.06788360223436,59127.090857553296,27.248934484436177,20.599033347098157,14453.204795182217,33.62212662235834,12.47625970885565,238.8090688746961,19.2180269646924,0.1937721,0.32744193,0.063449115
