Epoch,Loss,R2_FRI,R2_DRI
1,2767200.647505,-129765113.605082,-187830193.364496
2,16198.029663,-539892.81399,-743814.735503
3,25383.30756,-425161.815381,-750235.810606
4,2832.869241,-74401.841349,-96034.692392
5,1640.55543,-55824.061367,-83354.850274
6,1013.140772,-31537.138863,-32990.127676
7,599.918648,-15243.676604,-15857.039322
8,343.885875,-5605.770937,-24812.849037
9,217.371613,-4379.954492,-5622.057309
10,168.68395,-2815.889703,-5786.094422
11,103.177071,-3602.62937,-5686.910792
12,181.126842,-2727.278906,-3915.237931
13,1616.104451,-24554.004234,-50754.650127
14,137.881315,-2726.299735,-2866.510703
15,123.878773,-3821.552926,-4304.942623
16,151.101455,-2010.440283,-3249.513394
17,94.851334,-2754.92007,-2073.051832
18,60.113103,-1489.74503,-1258.209302
19,52.426651,-781.733745,-922.427589
20,86.661894,-2070.563832,-2325.912106
21,43.902254,-900.670598,-2986.081601
22,320.836372,-34530.8716,-2503.405341
23,20990.507564,-1424951.322286,-223410.713032
24,10546.258026,-12747.366509,-243509.539622
25,78.945448,-4947.015374,-4003.083215
26,173.181693,-3942.581785,-3397.104954
27,71.577957,-5659.773715,-1549.149022
28,47.944417,-717.809856,-701.436198
29,238.865511,-2839.542311,-18918.86788
30,46.851562,-573.351447,-1114.317144
31,132.934228,-6560.658433,-2199.020233
32,5308.586287,-384639.646515,-254354.515866
33,33.067986,-1014.084053,-1100.253775
34,99.559292,-4423.318668,-869.02044
35,65333.110374,-2205009.909325,-1519031.000453
36,202.721209,-4326.909476,-13994.368982
37,49.313155,-1537.446182,-2033.490752
38,30.527779,-1065.60852,-703.756262
