Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,SurplusFRI,SurplusDRI,RelSurplusFRI,RelSurplusDRI
ABHE BAD (also ABHE BID HAYK),-0.2330633848905563,0.4958175420761108,-0.4326544404029846,0.3512001633644104,0.1995910555124283,0.1446173787117003,-0.8563810038464592,-0.29167459083063424
ACARAU,-0.0339673571288585,0.3600535690784454,-0.1558782309293747,0.2896812558174133,0.1219108738005162,0.0703723132610321,-3.589059735734969,-0.1954495644666141
AISEN,-0.4966653287410736,0.7079262733459473,-0.8346530795097351,0.459941953420639,0.3379877507686615,0.2479843199253082,-0.6805140830453751,-0.350296816578418
ALAKOL,0.1183456629514694,0.2416810840368271,0.1149122193455696,0.2395521402359008,0.0034334436058997,0.0021289438009262,-0.029011993513507688,-0.00880889710260438
ALAZEYA,-1.1195603609085083,1.1766798496246338,-1.767813205718994,0.6946889162063599,0.6482528448104856,0.4819909334182739,-0.5790244701808102,-0.4096194335035407
ALBANY,-0.9687432050704956,1.0572309494018557,-1.547713279724121,0.6247280240058899,0.5789700746536255,0.4325029253959658,-0.5976507206690485,-0.4090902991826534
ALSEK,0.1177920997142791,0.2582488358020782,0.1102489307522773,0.2509942054748535,0.0075431689620018,0.0072546303272246,-0.06403798710014331,-0.02809162838892572
ALTAMAHA,0.1296600997447967,0.2314263880252838,0.1279142796993255,0.2304191887378692,0.0017458200454711,0.0010071992874146,-0.013464589715011781,-0.004352136746413584
AMACURO (also AMAKURA),0.1020303070545196,0.2598373293876648,0.0894689708948135,0.2352286428213119,0.0125613361597061,0.0246086865663529,-0.12311377395928044,-0.0947080491642443
AMAZON (also AMAZONAS),-1.2103307247161863,1.246058225631714,-1.89913809299469,0.7289735674858093,0.6888073682785036,0.5170846581459048,-0.5691067360452441,-0.4149763209369758
AMUR,-1.0039793252944946,1.0929235219955444,-1.598867654800415,0.6508312821388245,0.5948883295059204,0.4420922398567199,-0.5925304580663784,-0.40450427770967334
ANABAR,-0.4579623639583587,0.6918941140174866,-0.7837138772010803,0.4512709677219391,0.3257515132427216,0.2406231462955474,-0.7113062969347876,-0.3477745241947037
ANADYR,-2.579896926879883,2.282088279724121,-3.951068162918091,1.245045781135559,1.371171236038208,1.037042498588562,-0.5314829525753563,-0.4544269859332211
ANDERSON,-0.3949305713176727,0.6239745020866394,-0.6793321967124939,0.4146263599395752,0.2844016253948212,0.2093481421470642,-0.7201306914426115,-0.3355075270655788
ANGERMANALVEN,-3.082358121871948,2.641329288482666,-4.71220064163208,1.407083511352539,1.6298425197601325,1.234245777130127,-0.5287648142488752,-0.4672820547259936
APALACHICOLA,0.1300344467163086,0.2426172643899917,0.1217744648456573,0.2381379306316375,0.0082599818706513,0.0044793337583542,-0.06352149049145263,-0.01846255158146525
ARAGUARI,-0.523745059967041,0.7213817834854126,-0.865645706653595,0.4682649970054626,0.3419006466865539,0.25311678647995,-0.6527997547281297,-0.3508777075808547
ARAL SEA,-0.6811293959617615,0.8445587754249573,-1.1009079217910769,0.5316188931465149,0.4197785258293154,0.3129398822784424,-0.6162977670881228,-0.37053653503390593
ARMERIA,0.0930791273713111,0.2671342492103576,0.0605901330709457,0.2482995688915252,0.0324889943003654,0.0188346803188323,-0.34904704435786515,-0.07050642279867617
ARNAUD,-0.6503418684005737,0.811477780342102,-1.050167441368103,0.5082962512969971,0.3998255729675293,0.303181529045105,-0.6147929149184954,-0.3736165504338147
ASHBURTON,-9.554604530334473,7.56088924407959,-14.4326171875,3.8611302375793457,4.878012657165527,3.699759006500244,-0.5105405086812909,-0.4893285547592527
ATOUI,0.1134929433465004,0.2535021007061004,0.1082665026187896,0.2444994151592254,0.0052264407277107,0.009002685546875,-0.046050799050599764,-0.035513258161565815
ATRATO,-1.0674740076065063,1.1301119327545166,-1.6991479396820068,0.6632496118545532,0.6316739320755005,0.4668623208999634,-0.5917464290225125,-0.4131115753835469
ATREK,0.124338299036026,0.2380417734384536,0.1211009919643402,0.2354253679513931,0.0032373070716858,0.0026164054870604,-0.026036282438991882,-0.010991371175181447
ATTAWAPISKAT,-0.8803139925003052,0.986604630947113,-1.414556622505188,0.590356707572937,0.5342426300048828,0.396247923374176,-0.6068773580293825,-0.40162787700863417
AZOPARDO,0.1089285314083099,0.2439520359039306,0.0986287891864776,0.2249602079391479,0.0102997422218322,0.0189918279647827,-0.09455504530052396,-0.07785066394060257
BACK,-1.4446560144424438,1.4230258464813232,-2.267047643661499,0.810857355594635,0.8223916292190552,0.6121684908866882,-0.5692646699266,-0.4301878932138727
BAKER,-0.2521728873252868,0.5231972932815552,-0.4691177308559418,0.3706456422805786,0.2169448435306549,0.1525516510009765,-0.8603020167303318,-0.2915757649359281
