Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,SurplusFRI,SurplusDRI
ABHE BAD (also ABHE BID HAYK),-0.2330633848905563,0.4958175420761108,-0.4326544404029846,0.3512001633644104,0.1995910555124283,0.14461737871170038
ACARAU,-0.0339673571288585,0.3600535690784454,-0.1558782309293747,0.2896812558174133,0.1219108738005162,0.0703723132610321
AISEN,-0.4966653287410736,0.7079262733459473,-0.8346530795097351,0.459941953420639,0.3379877507686615,0.24798431992530828
ALAKOL,0.1183456629514694,0.2416810840368271,0.1149122193455696,0.2395521402359008,0.003433443605899797,0.0021289438009262918
ALAZEYA,-1.1195603609085083,1.1766798496246338,-1.767813205718994,0.6946889162063599,0.6482528448104856,0.4819909334182739
ALBANY,-0.9687432050704956,1.0572309494018557,-1.547713279724121,0.6247280240058899,0.5789700746536255,0.4325029253959658
ALSEK,0.1177920997142791,0.2582488358020782,0.1102489307522773,0.2509942054748535,0.0075431689620018005,0.007254630327224676
ALTAMAHA,0.1296600997447967,0.2314263880252838,0.1279142796993255,0.2304191887378692,0.0017458200454711914,0.0010071992874146063
AMACURO (also AMAKURA),0.1020303070545196,0.2598373293876648,0.0894689708948135,0.2352286428213119,0.012561336159706102,0.0246086865663529
AMAZON (also AMAZONAS),-1.2103307247161863,1.246058225631714,-1.89913809299469,0.7289735674858093,0.6888073682785036,0.5170846581459048
AMUR,-1.0039793252944946,1.0929235219955444,-1.598867654800415,0.6508312821388245,0.5948883295059204,0.44209223985671997
ANABAR,-0.4579623639583587,0.6918941140174866,-0.7837138772010803,0.4512709677219391,0.3257515132427216,0.24062314629554749
ANADYR,-2.579896926879883,2.282088279724121,-3.951068162918091,1.245045781135559,1.371171236038208,1.037042498588562
ANDERSON,-0.3949305713176727,0.6239745020866394,-0.6793321967124939,0.4146263599395752,0.2844016253948212,0.2093481421470642
ANGERMANALVEN,-3.082358121871948,2.641329288482666,-4.71220064163208,1.407083511352539,1.6298425197601323,1.234245777130127
APALACHICOLA,0.1300344467163086,0.2426172643899917,0.1217744648456573,0.2381379306316375,0.0082599818706513,0.004479333758354215
ARAGUARI,-0.523745059967041,0.7213817834854126,-0.865645706653595,0.4682649970054626,0.34190064668655396,0.25311678647995
ARAL SEA,-0.6811293959617615,0.8445587754249573,-1.1009079217910769,0.5316188931465149,0.4197785258293154,0.3129398822784424
ARMERIA,0.0930791273713111,0.2671342492103576,0.0605901330709457,0.2482995688915252,0.032488994300365406,0.018834680318832397
ARNAUD,-0.6503418684005737,0.811477780342102,-1.050167441368103,0.5082962512969971,0.3998255729675293,0.303181529045105
ASHBURTON,-9.554604530334473,7.56088924407959,-14.4326171875,3.8611302375793457,4.878012657165527,3.699759006500244
ATOUI,0.1134929433465004,0.2535021007061004,0.1082665026187896,0.2444994151592254,0.005226440727710793,0.009002685546875
ATRATO,-1.0674740076065063,1.1301119327545166,-1.6991479396820068,0.6632496118545532,0.6316739320755005,0.4668623208999634
ATREK,0.124338299036026,0.2380417734384536,0.1211009919643402,0.2354253679513931,0.003237307071685805,0.0026164054870604914
ATTAWAPISKAT,-0.8803139925003052,0.986604630947113,-1.414556622505188,0.590356707572937,0.5342426300048828,0.396247923374176
AZOPARDO,0.1089285314083099,0.2439520359039306,0.0986287891864776,0.2249602079391479,0.01029974222183229,0.018991827964782715
BACK,-1.4446560144424438,1.4230258464813232,-2.267047643661499,0.810857355594635,0.8223916292190552,0.6121684908866882
BAKER,-0.2521728873252868,0.5231972932815552,-0.4691177308559418,0.3706456422805786,0.21694484353065496,0.15255165100097656
"BALEINE, GRANDE RIVIERE DE LA",-0.6096893548965454,0.7734571695327759,-0.9933746457099916,0.4898598194122314,0.38368529081344616,0.2835973501205445
"BALEINE, RIVIERE DE LA",0.1215957328677177,0.2367515712976455,0.1131070330739021,0.2226080894470214,0.008488699793815599,0.014143481850624112
BANCANNIA LAKE,-5.58723783493042,4.555729389190674,-8.474148750305176,2.3741517066955566,2.886910915374756,2.181577682495117
BANDAMA,-2.8817689418792725,2.5168397426605225,-4.420876502990723,1.3560620546340942,1.5391075611114502,1.1607776880264282
BARAKA,0.0220684856176376,0.318916767835617,-0.0458745807409286,0.2692130506038666,0.0679430663585662,0.04970371723175043
BENGAWAN SOLO,-1.1821483373641968,1.202009677886963,-1.8777432441711424,0.6905410289764404,0.6955949068069456,0.5114686489105225
BIA,-3.219477891921997,2.7649519443511963,-4.911849021911621,1.4769318103790283,1.692371129989624,1.288020133972168
BIOBIO,-0.7975741028785706,0.9215559363365172,-1.2964448928833008,0.546922504901886,0.4988707900047302,0.37463343143463124
