Basin,Pearson_Degree,Spearman_Degree,Pearson_Betweenness,Spearman_Betweenness,Pearson_EdgeBetweenness,Spearman_EdgeBetweenness
ABHE BAD (also ABHE BID HAYK),0.3826357998742453,0.3778649084241133,0.24052266535762046,0.3585354108090136,-0.008410693611748222,0.06250510568886186
ACARAU,0.5987951038645122,0.7099971155546368,0.46901616015709174,0.6461502313374886,0.3741139556475509,0.3776274560246805
AISEN,0.5030092284966574,0.6610317972405239,0.4534810135015606,0.621469544767845,-0.26123074327076934,-0.03507901678187007
ALAKOL,0.06418308852250548,0.594061088977427,0.06156093474482838,0.5325935631988122,-0.04796696189949296,0.13782217470793942
ALAZEYA,0.1449869778200354,0.6753555598050868,0.12072682742430205,0.6427647110334782,0.07076041931420338,0.11778123050667516
ALBANY,0.42629235317414366,0.42641404869810795,0.29360555499382984,0.4270157501356148,-0.07927221910191522,-0.018348586687681346
ALSEK,0.33722316738533187,0.5527647303372606,0.4595094663032459,0.5825636680041313,-0.1828592051858156,-0.08677194689885713
ALTAMAHA,0.3877774815139289,0.6830625914231566,0.5171774657410386,0.7101187603512666,-0.08972951883502853,-0.049773224894105364
AMACURO (also AMAKURA),0.7077650340667615,0.7745966692414834,0.7077650340667615,0.7745966692414834,-0.5136296577817243,-0.8660254037844387
AMAZON (also AMAZONAS),0.6392725528319867,0.6573671830950276,0.18189456802066412,0.609140451227632,0.0031155321663932788,-0.024612256297268764
AMUR,0.571295397013635,0.5831834450335484,0.1793834689781198,0.5415566135352358,-0.014648518743605413,-0.018200619563157588
ANABAR,0.6525426980898089,0.6951890129999105,0.3887340081489406,0.608881022972681,0.09694759820001023,0.08311005298975359
ANADYR,0.4880691109485539,0.49067867362932094,0.2407263339678737,0.4276315228071131,0.053911309559292485,0.07897921713237982
ANDERSON,0.03384919368189723,0.5152613357169236,-0.029893423966102357,0.4927516965221778,0.27318931859140255,-0.12173473897438597
ANGERMANALVEN,0.27135051729264853,0.5387463949007695,0.3839870407067216,0.5635448259129378,0.33846055557247495,0.2551551815399144
APALACHICOLA,0.2006081506516984,0.5168705537388951,0.09938504681558664,0.4606108308571748,-0.1075192276532993,0.05094267081084934
ARAGUARI,0.4297480138684073,0.6347063276482805,0.18736142368404501,0.5582610941610336,0.08333758631494294,-0.030628866504895838
ARAL SEA,0.5986398561598267,0.6131292150629071,0.21567790912002957,0.580151472030545,-0.013173427014680526,0.00705086558329217
ARMERIA,0.07497581599535193,0.16903085094570333,0.045073194594212336,0.12371791482634838,0.35598389342550135,0.40824829046386296
ARNAUD,0.29456385140858427,0.618009011287618,0.06919667203174105,0.5407913431712406,0.23677837581442585,0.08542408613124117
ASHBURTON,-0.053014604539074264,0.6358612674749456,-0.008713359899925057,0.590360669338414,-0.07290904512352309,0.026960332613368606
ATOUI,0.06449442679542991,0.42389933308072125,0.1092147820473897,0.43727345779962706,0.19904911530447486,0.06264633645734935
ATRATO,0.12239867413020783,0.5572923364944484,-0.05210568851466552,0.5074487825776849,-0.07616911058013451,-0.0389719295362678
ATREK,0.14499894268653443,0.4900896960322166,0.04080494335440003,0.4336643173145298,0.25696321726656013,0.11238171398577752
ATTAWAPISKAT,0.04117999631321608,0.5603600367088374,0.1791333614905589,0.5781993390853137,-0.11672632259137898,-0.005284207938778394
AZOPARDO,-0.07067865906997008,0.2581988897471611,-0.07067865906997008,0.2581988897471611,-0.9998735492709394,-0.8660254037844387
BACK,0.06402794599500097,0.5999759668342216,0.13593954831417696,0.5769507020665945,-0.05070638835043729,0.05269238853600724
BAKER,0.08195681175784915,0.2525794430614914,0.10544830816627238,0.205281525472244,-0.10373219441921891,0.0191147547558959
"BALEINE, GRANDE RIVIERE DE LA",0.15775775730347344,0.5946187253790689,0.03437671482612168,0.526132401401065,-0.2648760734433966,-0.022805893448560457
"BALEINE, RIVIERE DE LA",0.2589566467200783,0.44769661881817696,0.16457270831913012,0.36318898769750746,-0.006371513442735976,-0.22838356222841721
BANCANNIA LAKE,0.0835431109000047,0.6945978911563255,-0.004326482830419626,0.6251423849026758,0.20070587860870834,-0.044086438975262314
BANDAMA,0.6248837346313473,0.6252914084727963,0.5245681891953753,0.6111307152145959,-0.2958405324344271,-0.09497953929020267
BARAKA,-0.12481637213286785,0.5516881285221242,-0.10346021401929309,0.4946577671797281,0.059658916594931964,0.029497123079560424
BARIMA,,,,,,
BENGAWAN SOLO,-0.27254320335704824,0.16903085094570333,-0.300569485474202,0.12371791482634838,-0.41971583612357694,-0.4724555912615341
BIA,0.4949607411697381,0.6197797868009122,0.5553302600924218,0.6735753140545635,-0.46954170116591554,-0.40824829046386296
BIOBIO,0.16229832007913664,0.3324479842709234,0.23034753361251753,0.36289104759275154,0.01885772821493591,0.25911215148197264
BLACKWOOD,0.2096930643736286,0.36896402776085446,0.05057722100710067,0.24579667255586202,0.35237988015049015,0.1543033499620919
BRAHMANI,0.27874805776165856,0.688297476518036,0.11583669993046643,0.6052684462206833,-0.13607201533944405,-0.012305074497328053
BRAHMAPUTRA,0.6330520791038904,0.648278459053139,0.279592749872848,0.5969033931414743,-0.04494782415926177,-0.014738544060920619
BRANTAS,0.4736612210287858,0.7106690545187014,0.5143391229416422,0.7156264473321344,-0.45275938350862693,-0.2898754521821014
BRAZOS,0.686839268094626,0.7215172578754371,0.42835736892007187,0.653538855395724,-0.022359675575963463,-0.05108366732980129
BULLER,0.19405626769527895,0.05634361698190111,0.1569121740457634,0.10997147984564302,-0.36156501175257694,-0.7768985960673559
