Basin,OrigFRI,OrigDRI,ParetoBestFRI,ParetoBestDRI,NumPareto,FRI_improve,DRI_improve
CONCEPCION,0.17209506,0.26024365,0.17209503,0.26024354,1,0.9999943636119902,0.9999965801395873
CONGO,0.35844132,0.5660509,0.35844097,0.5660496,2,0.999998186596285,1.000000529987955
CONNECTICUT,0.17187282,0.27378637,0.17187274,0.27378634,2,0.9999946472334867,0.9999964571042621
COPIAPO,0.19650841,0.26320195,0.19650841,0.26320192,1,0.9999949111851691,0.9999963146305523
COPPENAME RIVIER,0.1668109,0.26489344,0.16681086,0.26489338,3,0.9999942450135141,0.9999964514158435
COPPER,0.16672261,0.2780723,0.16672252,0.27807224,2,0.99999454186188,0.9999966195956145
COPPERMINE,0.15278682,0.3005586,0.15278664,0.30055857,1,0.9999946330737224,0.9999967726863597
CORUBAL (also KOLIBA),0.17602137,0.28789365,0.17602132,0.2878936,2,0.9999946029571705,0.9999967001812469
COSAPILLA,0.13424155,0.24095543,0.13424152,0.24095543,2,0.9999927742715198,0.9999958498721118
COURANTYNE,0.21954831,0.29050574,0.21954831,0.29050565,2,0.9999954452145625,0.9999968675415866
CROSS,0.16478297,0.30690658,0.164783,0.30690655,3,0.9999937493931449,0.999996839439108
CUANZA,0.22439429,0.49011737,0.2243942,0.4901172,2,0.9999959446547877,0.9999983065309553
CUVELAI,0.23000798,0.45427352,0.23000796,0.45427346,1,0.9999957392964169,0.9999979307663477
CUYUNI,0.20302665,0.3447325,0.20302664,0.3447325,2,0.9999951238166389,0.9999970992085191
DALING HE,0.15548056,0.28335428,0.15548053,0.28335422,1,0.9999937613168586,0.9999966826092
DALY,0.1901729,0.28220394,0.19017291,0.28220385,3,0.9999946890717029,0.9999967753920602
DAMODAR,0.17070177,0.26610672,0.17070171,0.26610672,1,0.999994493350457,0.9999962421233026
DANUBE,0.21501401,0.40410447,0.21501403,0.4041045,2,0.999995256145582,0.99999745116065
DAOURA,0.18289737,0.2733376,0.18289736,0.27333748,1,0.9999945871575885,0.9999967805484249
DASHT KAUR,0.17608032,0.276878,0.1760803,0.27687797,3,0.9999944343891146,0.9999964966642286
"DAUGAVA (also ZAPADNAYA DVINA, also ZAKHODNAYA DZVINA)",0.16960295,0.36440212,0.16960287,0.36440206,1,0.9999945755954744,0.9999974204387856
DE CONTAS,0.17063445,0.2896638,0.17063445,0.2896638,2,0.9999941395530647,0.9999965477337944
DE GREY RIVER,0.16493794,0.3127203,0.16493796,0.3127204,2,0.9999938158940739,0.9999964824920841
DEAD SEA,0.22126898,0.39377138,0.22126883,0.39377132,2,0.9999961585363897,0.999997612833731
DELAWARE,0.15465981,0.29523242,0.1546598,0.29523242,1,0.9999935988951306,0.9999966128495887
DESEADO,0.14657027,0.25013557,0.14657018,0.25013554,2,0.9999937914124728,0.9999961221179441
DIGUL (also UWIMBU),0.20612305,0.2821725,0.20612302,0.28217238,4,0.9999952940952733,0.999996881350041
DJERID,0.18674591,0.29770145,0.18674593,0.2977014,3,0.999994538062821,0.999996808893714
DNIEPER,0.23426217,0.37369758,0.23426211,0.3736975,2,0.9999959874177372,0.9999975381223097
DNIESTR,0.1617045,0.31886017,0.16170448,0.31886014,2,0.9999939395993258,0.9999969579234397
DOCE,0.1680903,0.30743167,0.16809028,0.30743152,1,0.9999941698343899,0.9999972351656227
DON,0.22323653,0.36851478,0.22323649,0.36851472,1,0.9999956996470439,0.9999974492268606
DONG NAI,0.18302423,0.3295489,0.18302423,0.3295489,1,0.9999945362724035,0.9999969655581751
DONG,0.17717868,0.2568224,0.17717862,0.2568224,2,0.9999946946494185,0.9999961062738054
DORDOGNE,0.15451412,0.26182458,0.1545141,0.26182455,3,0.9999936575778032,0.9999962952431496
DOURO (also DUERO),0.15929718,0.36474735,0.15929718,0.36474738,2,0.9999937224643747,0.9999971761355048
DRAA,0.16830537,0.27523905,0.16830535,0.27523902,2,0.9999941772844578,0.9999964758031917
DRAMSELVA,0.17732395,0.28190312,0.17732377,0.28190312,2,0.9999953757165455,0.9999964526946254
DRYSDALE,0.14999765,0.24793789,0.14999762,0.24793789,1,0.9999935332738396,0.9999959667480967
DURACK,0.15419595,0.2481637,0.15419596,0.2481637,2,0.9999934499357186,0.9999959704180329
EASTMAIN,0.17048,0.27550563,0.17047988,0.27550563,3,0.9999948381308215,0.9999963703232841
EBRO,0.16537596,0.3781436,0.16537595,0.37814355,1,0.9999940136760291,0.9999974877331964
EEL,0.15034646,0.26058066,0.15034702,0.26058093,2,0.9999896240735328,0.9999951262929093
ELBE,0.19168022,0.28898656,0.19168027,0.2889866,2,0.9999945221564944,0.9999964012296723
ELLICE,0.14212145,0.27190357,0.14212143,0.2719035,1,0.9999931045367013,0.999996579681469
ESMERALDAS,0.15354194,0.26115096,0.15354192,0.26115096,3,0.9999936174198067,0.999996170811814
ESSEQUIBO,0.17866887,0.26008078,0.17866883,0.26008075,1,0.9999946269608025,0.9999962704034405
FERGUSON,0.18472083,0.29443815,0.18472081,0.29443812,2,0.9999946947250029,0.9999967056008047
FEUILLES,0.16363624,0.27104717,0.16363624,0.27104717,1,0.9999938889216171,0.9999963106188838
FITZROY,0.20727582,0.30170423,0.20727593,0.30170414,1,0.9999946448454249,0.9999969838100871
FLINDERS,0.16528055,0.34098312,0.16528054,0.34098303,2,0.999994010220379,0.999997331253314
FORTESCUE,0.16118243,0.2695823,0.16118243,0.26958227,2,0.9999937958883243,0.9999964018538688
FRASER,0.261245,0.33766225,0.2612447,0.33766222,2,0.9999973205300605,0.9999971273151989
FUERTE NUEVO,0.1590239,0.2596052,0.15902388,0.2596052,1,0.999993837442292,0.9999961480118734
