Epoch,Loss,R2_FRI,R2_DRI
1,0.291826,-15.745375,-3.33545
2,0.042863,-0.252237,-0.392233
3,0.038324,-0.131371,-0.223692
4,0.035827,-0.09105,-0.128756
5,0.034737,-0.057834,-0.091173
6,0.03397,-0.045587,-0.054631
7,0.033615,-0.034917,-0.046666
8,0.033123,-0.013833,-0.041033
9,0.032958,-0.014725,-0.03855
10,0.032825,-0.011721,-0.035944
11,0.032596,-0.006941,-0.024207
12,0.032552,-0.006627,-0.027686
13,0.032571,-0.003915,-0.029745
14,0.032645,-0.00112,-0.035177
15,0.032454,-0.002212,-0.02544
16,0.032448,-0.005779,-0.026489
17,0.032437,-0.001846,-0.028271
18,0.032469,-0.004451,-0.027133
19,0.032428,0.00193,-0.022025
20,0.03236,0.002539,-0.024955
21,0.032334,-0.002506,-0.023227
22,0.032416,-0.000785,-0.031103
23,0.032465,-0.000694,-0.025547
24,0.032449,-0.003561,-0.027006
25,0.032582,0.001574,-0.034075
26,0.03234,0.002546,-0.025505
27,0.032457,0.001497,-0.023189
28,0.032399,-0.001563,-0.027775
29,0.032426,0.001363,-0.029843
