Epoch,Loss,R2_FRI,R2_DRI
1,0.074085,-1.392802,-1.714537
2,0.047694,-0.39551,-0.56571
3,0.042383,-0.26032,-0.368616
4,0.038865,-0.212494,-0.271346
5,0.037828,-0.157711,-0.238653
6,0.036612,-0.138099,-0.173161
7,0.035963,-0.12049,-0.15438
8,0.03506,-0.106984,-0.157899
9,0.034656,-0.09813,-0.140327
10,0.034131,-0.08727,-0.116098
11,0.034027,-0.082787,-0.125089
12,0.033729,-0.087546,-0.110554
13,0.033472,-0.076324,-0.102834
14,0.033048,-0.078997,-0.105044
15,0.03282,-0.077982,-0.09672
16,0.032814,-0.068228,-0.098408
17,0.03221,-0.070047,-0.096284
18,0.031838,-0.064309,-0.091438
19,0.031578,-0.057632,-0.087476
20,0.031104,-0.052838,-0.09475
21,0.030801,-0.052033,-0.0826
22,0.030555,-0.043629,-0.081054
23,0.030069,-0.041287,-0.082128
24,0.02997,-0.03885,-0.063315
25,0.029213,-0.019958,-0.049009
26,0.029053,-0.030654,-0.054336
27,0.028256,-0.022362,-0.046803
28,0.027899,-0.020789,-0.036242
29,0.02742,-0.006375,-0.022026
30,0.026871,0.005663,-0.020232
31,0.026437,0.009965,-0.019659
32,0.026019,0.004338,-0.010597
33,0.025487,0.019942,0.010792
34,0.024835,0.036333,0.013942
35,0.024546,0.034082,0.020477
36,0.024337,0.050591,0.012353
37,0.0237,0.048004,0.040021
38,0.023233,0.065865,0.038055
39,0.022856,0.071439,0.049558
40,0.022376,0.07307,0.068756
41,0.02215,0.089078,0.079552
42,0.021192,0.106215,0.110196
43,0.02154,0.117465,0.077245
44,0.020849,0.112475,0.108072
45,0.020474,0.132081,0.100814
46,0.020009,0.120497,0.124069
47,0.019405,0.154843,0.138283
48,0.019287,0.154001,0.157979
49,0.018985,0.145035,0.136854
50,0.018767,0.175089,0.135996
51,0.018324,0.165445,0.16964
52,0.018234,0.174831,0.169365
53,0.01787,0.182991,0.190512
54,0.017679,0.195919,0.194324
55,0.017254,0.209376,0.192646
56,0.017162,0.208517,0.209747
57,0.016843,0.211699,0.210414
58,0.016285,0.219712,0.239909
59,0.016065,0.240277,0.221865
60,0.015989,0.24137,0.261266
61,0.015683,0.252388,0.25057
62,0.015673,0.24121,0.255024
63,0.015416,0.254221,0.268829
64,0.015289,0.269621,0.253277
65,0.015176,0.254788,0.261944
66,0.015142,0.268515,0.274465
67,0.014522,0.260449,0.297458
68,0.014752,0.265003,0.299291
69,0.014373,0.266583,0.288899
70,0.014015,0.281527,0.295696
71,0.014195,0.264524,0.309873
72,0.013578,0.293007,0.32103
73,0.013643,0.304541,0.329957
74,0.013569,0.283732,0.313463
75,0.013225,0.322322,0.330453
76,0.013283,0.306647,0.324871
77,0.013378,0.318382,0.32903
78,0.013115,0.307707,0.342567
79,0.012842,0.31729,0.345637
80,0.012789,0.324465,0.351306
81,0.012487,0.325993,0.35469
82,0.012596,0.331192,0.337365
83,0.012504,0.327657,0.356529
84,0.012163,0.326087,0.370921
85,0.012451,0.360785,0.351651
86,0.012185,0.359506,0.361711
87,0.012014,0.372741,0.371821
88,0.012122,0.341812,0.362095
89,0.011688,0.354834,0.400114
90,0.012115,0.360353,0.371509
91,0.011586,0.35241,0.385893
92,0.011345,0.380444,0.390787
93,0.011593,0.361817,0.384581
94,0.011327,0.37639,0.406967
95,0.011188,0.382017,0.400553
96,0.011355,0.396181,0.399498
97,0.011478,0.375269,0.409807
98,0.011304,0.362355,0.405042
99,0.011255,0.380321,0.387555
100,0.010825,0.394554,0.406043
