Epoch,Loss,R2_FRI,R2_DRI
1,0.046476,-0.410304,-0.831171
2,0.037003,-0.065531,-0.235458
3,0.03538,-0.036231,-0.176095
4,0.034405,-0.028439,-0.128138
5,0.033897,-0.021361,-0.096165
6,0.033424,-0.018153,-0.078657
7,0.033105,-0.012732,-0.065081
8,0.032768,-0.013364,-0.060684
9,0.032683,-0.014727,-0.045883
10,0.032512,-0.011124,-0.042667
11,0.032387,-0.010662,-0.037707
12,0.032342,-0.010057,-0.031866
13,0.032291,-0.002104,-0.033071
14,0.032127,-0.007676,-0.028734
15,0.032009,-0.00779,-0.025042
16,0.032018,-0.01296,-0.022199
17,0.032041,-0.006627,-0.026891
18,0.031923,-0.005925,-0.022412
19,0.031927,-0.002473,-0.02326
20,0.03173,-0.006118,-0.020659
21,0.031811,-0.005445,-0.019307
22,0.031775,-0.00534,-0.019677
23,0.031767,-0.000986,-0.020653
24,0.031723,-0.003576,-0.018564
25,0.031599,0.000791,-0.022374
26,0.031668,0.00057,-0.017775
27,0.031575,-0.004167,-0.020453
28,0.031633,0.002409,-0.01774
29,0.031568,0.003256,-0.02006
30,0.031633,0.00313,-0.017163
31,0.0314,0.003401,-0.015548
32,0.031492,-0.000527,-0.019949
33,0.031553,0.003487,-0.023128
34,0.031407,0.006767,-0.02314
35,0.031337,0.00055,-0.019567
36,0.031263,0.000836,-0.016915
37,0.031265,0.005755,-0.016387
38,0.031141,0.007152,-0.020831
39,0.031078,0.002053,-0.021122
40,0.031107,0.006113,-0.016892
41,0.031184,0.006241,-0.020111
42,0.03105,0.002449,-0.021313
43,0.030998,0.005237,-0.020467
44,0.030975,0.007154,-0.021623
45,0.031065,0.002419,-0.028679
46,0.03105,-0.000349,-0.022415
47,0.030822,0.00596,-0.023082
