Epoch,Loss,R2_FRI,R2_DRI
1,0.054864,-0.569566,-0.959632
2,0.038404,-0.127133,-0.300573
3,0.036044,-0.072225,-0.1814
4,0.034607,-0.041204,-0.118821
5,0.03383,-0.034258,-0.104973
6,0.03358,-0.028439,-0.07511
7,0.033205,-0.021499,-0.064146
8,0.032875,-0.019044,-0.058235
9,0.032754,-0.013789,-0.04891
10,0.032646,-0.00859,-0.039833
11,0.032396,-0.006863,-0.042993
12,0.032376,-0.00768,-0.03204
13,0.03226,-0.005744,-0.030911
14,0.032157,-0.002382,-0.030272
15,0.032104,-0.002647,-0.028306
16,0.032149,-0.002294,-0.02182
17,0.031971,0.001572,-0.01732
18,0.032034,0.001418,-0.020779
19,0.031937,0.004964,-0.016604
20,0.031846,0.000992,-0.013611
21,0.031841,0.00494,-0.017525
22,0.031826,0.003668,-0.014636
23,0.031786,0.004703,-0.013583
24,0.031704,0.002491,-0.012589
25,0.031794,0.003397,-0.01054
26,0.031723,0.005525,-0.006656
27,0.031651,0.003729,-0.013958
28,0.031706,0.00386,-0.015041
29,0.031663,0.002922,-0.016807
30,0.03163,0.004517,-0.012042
31,0.031629,0.008307,-0.010469
32,0.031485,0.005877,-0.010454
33,0.031593,0.00545,-0.016301
34,0.031494,0.006835,-0.011481
35,0.031606,0.00498,-0.016886
36,0.031524,0.007097,-0.010515
