Epoch,Loss,R2_FRI,R2_DRI
1,0.056961,-0.916178,-1.111364
2,0.039791,-0.16885,-0.231149
3,0.036996,-0.113112,-0.1526
4,0.035887,-0.076985,-0.134808
5,0.035378,-0.069118,-0.114864
6,0.034941,-0.07202,-0.105235
7,0.034733,-0.064271,-0.092034
8,0.034395,-0.067315,-0.079893
9,0.034351,-0.064153,-0.073174
10,0.034184,-0.053911,-0.08173
11,0.033894,-0.055204,-0.070723
12,0.033825,-0.059464,-0.076131
13,0.033615,-0.049565,-0.066694
14,0.033586,-0.049277,-0.072791
15,0.033179,-0.037885,-0.055281
16,0.03299,-0.05277,-0.067965
17,0.032673,-0.044884,-0.064627
18,0.032681,-0.045261,-0.048501
19,0.032476,-0.040722,-0.056405
20,0.031971,-0.048106,-0.042747
21,0.031704,-0.037458,-0.038444
22,0.031464,-0.035727,-0.03494
23,0.03108,-0.042679,-0.031385
24,0.03066,-0.032031,-0.027631
25,0.030101,-0.021717,-0.003684
26,0.030092,-0.028777,-0.012015
27,0.029977,-0.029884,-0.006484
28,0.029617,-0.030242,0.000451
29,0.028924,-0.026317,0.032082
30,0.028696,-0.028752,0.031563
31,0.028214,-0.008584,0.042209
32,0.027916,-0.024799,0.047174
33,0.027916,-0.01297,0.058775
34,0.027781,0.007088,0.052592
35,0.026614,0.003006,0.068625
36,0.027089,0.008927,0.072869
37,0.026507,0.012265,0.063975
38,0.02666,0.030794,0.062726
39,0.025667,0.008625,0.076447
40,0.025444,0.015372,0.105798
41,0.025134,0.034532,0.10008
42,0.025095,0.029071,0.114054
43,0.02445,0.053863,0.138647
44,0.024593,0.031433,0.155071
45,0.02428,0.054201,0.131116
46,0.023891,0.07059,0.145697
47,0.02295,0.059547,0.180001
48,0.023153,0.053615,0.153273
49,0.023261,0.061278,0.171313
50,0.023244,0.068968,0.166352
51,0.022398,0.074535,0.182244
52,0.022308,0.097852,0.185697
53,0.02202,0.076378,0.196206
54,0.021412,0.086964,0.207374
55,0.021555,0.103691,0.196612
56,0.020912,0.116129,0.199643
57,0.020934,0.100839,0.228958
58,0.021157,0.117281,0.201359
59,0.020368,0.124167,0.238869
60,0.020442,0.137368,0.219074
61,0.020167,0.137549,0.243885
62,0.019743,0.147376,0.239139
63,0.019893,0.168905,0.240843
64,0.019614,0.128326,0.257203
65,0.019319,0.137843,0.261015
66,0.019166,0.197358,0.23897
67,0.018884,0.188534,0.260229
68,0.018845,0.174121,0.268719
69,0.018572,0.192159,0.255538
70,0.018832,0.156104,0.265912
71,0.018551,0.199847,0.261838
72,0.018139,0.218517,0.299086
73,0.017656,0.219577,0.303795
74,0.018444,0.22911,0.248108
75,0.017444,0.245833,0.287181
76,0.01775,0.248809,0.300186
77,0.017222,0.2665,0.31481
78,0.017634,0.252746,0.27789
79,0.017493,0.25848,0.291336
80,0.016761,0.258758,0.312231
81,0.017139,0.238808,0.314771
82,0.016287,0.298301,0.297171
83,0.016379,0.265965,0.325286
84,0.016443,0.283349,0.312864
85,0.016127,0.265998,0.325683
86,0.016592,0.300286,0.331594
87,0.016388,0.285105,0.309188
88,0.016091,0.304542,0.29582
89,0.015482,0.30059,0.335444
90,0.01513,0.332799,0.342999
91,0.015594,0.316702,0.337828
92,0.016034,0.326974,0.339237
93,0.015779,0.304068,0.346267
94,0.015386,0.304246,0.329196
95,0.015348,0.326653,0.3485
96,0.015107,0.311835,0.346379
97,0.015665,0.344362,0.345689
98,0.014991,0.350377,0.34482
99,0.014948,0.314898,0.368455
100,0.014953,0.34254,0.344717
