Epoch,Loss,R2_FRI,R2_DRI
1,0.098863,-1.997378,-2.62689
2,0.053561,-0.57615,-0.763925
3,0.045885,-0.349306,-0.445573
4,0.042995,-0.250705,-0.351807
5,0.03991,-0.195559,-0.279905
6,0.038944,-0.154637,-0.220558
7,0.037488,-0.130319,-0.166678
8,0.036543,-0.106136,-0.158622
9,0.036063,-0.101722,-0.123157
10,0.035036,-0.078324,-0.1138
11,0.035079,-0.074851,-0.090598
12,0.03443,-0.075372,-0.085315
13,0.034335,-0.061382,-0.08005
14,0.034094,-0.057896,-0.071359
15,0.033755,-0.048201,-0.063659
16,0.033507,-0.048254,-0.06121
17,0.03347,-0.048885,-0.036838
18,0.033269,-0.03308,-0.057273
19,0.033119,-0.043561,-0.03378
20,0.032948,-0.032039,-0.042842
21,0.032709,-0.035256,-0.041592
22,0.032769,-0.035459,-0.038394
23,0.03267,-0.036884,-0.028754
24,0.032723,-0.034234,-0.032849
25,0.032582,-0.023336,-0.031125
26,0.032316,-0.028784,-0.031605
27,0.032126,-0.030215,-0.022365
28,0.032014,-0.026163,-0.026092
29,0.0318,-0.019921,-0.013307
30,0.031828,-0.022656,-0.016796
31,0.031697,-0.025952,-0.016527
32,0.031822,-0.026691,-0.019953
33,0.031687,-0.026447,-0.016372
34,0.031475,-0.01336,-0.024364
35,0.031314,-0.023485,-0.012596
36,0.031153,-0.023553,-0.015938
37,0.031065,-0.020068,-0.01147
38,0.03083,-0.026685,-0.009981
39,0.030664,-0.017887,0.003005
40,0.030628,-0.013014,-0.003616
41,0.030252,-0.016779,0.001337
42,0.030313,-0.015638,0.007485
43,0.029886,-0.015808,0.003609
44,0.030058,-0.017221,0.006719
45,0.030129,-0.020127,0.017391
46,0.029423,-0.010943,0.024098
47,0.029586,-0.014175,0.023731
48,0.029247,-0.012996,0.024157
49,0.029327,-0.002037,0.022106
50,0.029102,-0.000781,0.032326
51,0.02901,0.000923,0.02689
52,0.02853,0.002189,0.041473
53,0.028421,0.008805,0.040417
54,0.028395,0.005839,0.038618
55,0.028518,0.002813,0.043961
56,0.028312,0.003074,0.040299
57,0.028174,0.010663,0.051377
58,0.027721,0.003672,0.061002
59,0.027647,0.007334,0.061043
60,0.027638,0.013948,0.066461
61,0.027372,0.022156,0.060265
62,0.027218,0.023236,0.063125
63,0.026987,0.025354,0.071933
64,0.027062,0.029422,0.070176
65,0.026574,0.023608,0.073
66,0.026533,0.020167,0.085774
67,0.026384,0.030995,0.084559
68,0.026258,0.021776,0.09528
69,0.026108,0.037569,0.088229
70,0.025943,0.033549,0.100333
71,0.025728,0.040642,0.106515
72,0.025855,0.034534,0.092269
73,0.025446,0.03659,0.107965
74,0.02552,0.046492,0.106999
75,0.025077,0.04866,0.121568
76,0.025161,0.048283,0.110791
77,0.024999,0.053643,0.13164
78,0.025235,0.051503,0.115786
79,0.02441,0.069216,0.132604
80,0.024486,0.067476,0.134467
81,0.024493,0.070051,0.128476
82,0.024158,0.077903,0.136081
83,0.023917,0.084674,0.140384
84,0.024064,0.079976,0.14864
85,0.023583,0.09987,0.158726
86,0.023454,0.08111,0.137366
87,0.023387,0.083438,0.157937
88,0.023219,0.098516,0.161824
89,0.023218,0.110182,0.151844
90,0.022829,0.103378,0.160036
91,0.023089,0.096866,0.163479
92,0.023368,0.104217,0.171323
93,0.022864,0.116019,0.138614
94,0.022868,0.108836,0.180244
95,0.022591,0.113945,0.177044
96,0.022307,0.112807,0.178993
97,0.022067,0.114252,0.182404
98,0.022246,0.144257,0.177467
99,0.022223,0.1374,0.178008
100,0.021769,0.137659,0.185846
