Epoch,Loss,R2_FRI,R2_DRI
1,0.090551,-2.427164,-2.66539
2,0.049401,-0.401904,-0.74117
3,0.042502,-0.193865,-0.446628
4,0.039112,-0.120544,-0.302456
5,0.036872,-0.078804,-0.207985
6,0.035465,-0.061695,-0.148597
7,0.034578,-0.038425,-0.103374
8,0.03392,-0.025499,-0.072632
9,0.033356,-0.019497,-0.058137
10,0.033054,-0.013225,-0.04269
11,0.032904,-0.013545,-0.028058
12,0.032765,-0.005764,-0.025219
13,0.032614,-0.007386,-0.022708
14,0.032442,-0.001834,-0.020963
15,0.032385,-0.002927,-0.017018
16,0.032343,-0.001235,-0.023111
17,0.032291,0.00142,-0.017734
18,0.032284,-0.000551,-0.022063
19,0.032276,-9.8e-05,-0.018709
20,0.032258,0.001349,-0.020371
21,0.032255,7.1e-05,-0.019589
22,0.032292,0.002113,-0.02005
23,0.032278,0.001703,-0.018844
24,0.032226,0.003028,-0.017462
25,0.03219,0.001391,-0.015768
26,0.032198,0.001166,-0.017643
27,0.032216,0.001933,-0.019293
28,0.032179,0.003892,-0.018535
29,0.032207,0.001569,-0.017779
30,0.032211,-5.9e-05,-0.019583
31,0.032139,0.001597,-0.016721
32,0.032188,0.001569,-0.015084
33,0.032165,0.002824,-0.020195
34,0.032126,0.000851,-0.017057
35,0.032165,0.001677,-0.018297
36,0.032156,-0.000655,-0.023798
37,0.032162,0.000831,-0.021403
38,0.032115,-0.002345,-0.017118
39,0.032147,0.000424,-0.019284
40,0.032157,0.003731,-0.019448
41,0.032121,0.002059,-0.018314
42,0.032145,0.004327,-0.020643
